title,subtitle
O que é o rosto 'assustador' captado no espaço pelo telescópio Hubble,"Parece o rosto de um fantasma ou alienígena, observando nosso planeta com seus olhos enormes e brilhantes."
A incrível descoberta de desenho de animal com 44 mil anos de idade em caverna,Uma pintura descoberta na parede de uma caverna na 
Como divórcio teria levado Nasa a investigar denúncia do primeiro crime no espaço,"O divórcio entre uma astronauta americana e sua mulher teve uma consequência inusitada. O processo teria levado a agência espacial americana, a "
As raras múmias de bichos em exposição no Egito,"Pela primeira vez, o "
Como será a próxima ida do homem à Lua planejada pela Nasa," Um veículo de 12 rodas levanta uma nuvem de poeira cinza e deixa marcas no solo ao atravessar um terreno assimétrico. O ""caminhão espacial"" tem uma cabine pressurizada, permitindo que os dois astronautas dentro dele respirem sem os trajes espaciais. "
Como a tumba de Tutancâmon enfeitiçou o mundo influenciando a moda após 3 mil anos,"Quando a tumba do rei Tutancâmon foi aberta em novembro de 1922, o mundo sucumbiu sob seu feitiço. Para os arqueólogos de hoje, a explicação para esse culto está na riqueza excepcional da descoberta, especialmente porque muitos dos túmulos encontrados anteriormente tinham sido saqueados, e também na mística em torno das mortes prematuras do menino rei e do lorde Carnarvon, que financiou a expedição. "
CubeSat: Como um estranho bicho de pelúcia ajudou a revolucionar a indústria de satélites,Há uma anedota saborosa sobre as dimensões de um ônibus espacial.
A incrível história do imigrante africano que se tornou um dos mais respeitados samurais no Japão no século 16,"Quase 500 anos atrás, um homem alto e africano chegou ao Japão. Ele se tornaria o primeiro estrangeiro a alcançar o status de guerreiro samurai. Sua trajetória virou tema de dois filmes ainda em desenvolvimento em Hollywood. "
Os médicos e enfermeiros que sofrem ameaças de morte enquanto combatem o ebola na África,"""Minha equipe foi atacada por fazer seu trabalho"", diz o médico Pascal Vahwere, que combate o ebola na República Democrática do Congo (RDC)."
Ebola: Novo caso em cidade grande da República Democrática do Congo aumenta temor de que doença se espalhe,"A República Democrática do Congo confirmou o primeiro caso de ebola na cidade de Goma, um importante eixo de transportes no leste do país africano. Segundo o Ministério da Saúde local, um pastor foi diagnosticado após chegar de ônibus no domingo (14)."
O mundo secreto dos médicos que Cuba exporta," é reconhecida há tempos pela sua ""diplomacia médica"", enviando milhares de "
Mais Médicos: o prejuízo bilionário da saída dos médicos cubanos para a 'medicina de exportação' de Cuba,"A saída de Cuba do programa Mais Médicos, recém-anunciada pelo governo cubano em resposta a críticas feitas pelo presidente eleito "
Bolsonaro tem condições de adotar uma política externa agressiva à la Trump?,"O presidente eleito do Brasil, "
Mais Médicos: O que disseram Cuba e Bolsonaro sobre a saída dos cubanos do programa,O governo de Cuba anunciou nesta quarta-feira que vai abandonar o programa Mais Médicos no Brasil devido a declarações feitas pelo presidente eleito Jair Bolsonaro (PSL).
