title,subtitle
Quando a ditadura perseguiu cientistas e interrompeu pesquisas: os 50 anos do 'Massacre de Manguinhos',"Quando soube de sua cassação, o entomologista (estudioso de insetos) carioca Sebastião de Oliveira, de 52 anos, custou a acreditar. ""Você esquece que hoje é 1º de abril?"", rebateu ele à técnica de laboratório do parasitologista Herman Lent que lhe dera a notícia. "
Menos gripe: o efeito colateral positivo do isolamento social na Dinamarca,Dados do governo da Dinamarca divulgados recentemente apontam para um efeito 'incomum' das medidas de isolamento social adotadas pelo país para combater a pandemia de coronavírus: uma redução acentuada nos casos de gripe.
"Coronavírus: mortes no Brasil passam de 1,2 mil; casos confirmados são mais de 22 mil","O Ministério da Saúde divulgou neste domingo (12/04) que o número de mortos pelo novo coronavírus no país chegou a 1.223, e o total de casos da doença, a 22.169. "
Os setores que ainda estão contratando em meio à pandemia, A pandemia de covid-19 deve desencadear a maior crise no mercado de trabalho desde a Segunda Guerra Mundial.
"Ministério da Saúde mantém proibição de doação de sangue por gays, apesar de estoques baixos por coronavírus","O Ministério da Saúde informou à BBC News Brasil que vai manter as restrições atuais à doação de sangue por gays, apesar de um grande número de hemocentros pelo país relatar estoques baixos devido à pandemia de coronavírus."
"'Durmo no terraço para não infectar minha mãe', diz técnico em enfermagem que ganha R$ 80 por plantão de 12 horas"," Às vezes, ele tem vontade de dar um abraço ou um ""cheiro"" na mãe, mas Joseildo sabe que não pode. Por causa do coronavírus e porque não tem dinheiro para alugar um quarto, o técnico em enfermagem passou a dormir no terraço da casa, revezando entre um colchão no chão gelado e uma rede. Ele tem medo de contagiar a mãe, de 74 anos, que tem asma, pressão alta e, há um mês, sofreu um infarto. "
'Ela tinha medo do coronavírus': exame confirma que mulher morreu por covid-19 após festa,"Um exame confirmou que a aposentada Maria Salete Vieira, de 60 anos, morreu em decorrência da covid-19, a doença causada pelo novo coronavírus. "
Meirelles defende 'imprimir dinheiro' contra crise do coronavírus: 'Risco nenhum de inflação',"Grande defensor do controle de gastos públicos, o secretário de Fazenda e Planejamento de São Paulo, Henrique Meirelles, não tem dúvida de que é hora do governo federal aumentar fortemente suas despesas para conter o impacto do coronavírus sobre a saúde e a economia."
'Tenho medo de sair nas ruas’: a paciente que se tornou alvo de ódio nas redes por ter coronavírus,"O diagnóstico de covid-19, a doença causada pelo novo coronavírus, assustou a servidora pública Raissa Azulay, de 37 anos. "
Coronavírus: estudo britânico questiona 'relação custo-benefício' do fechamento de escolas,"O fechamento de escolas para tentar conter o avanço da pandemia de coronavírus foi adotado em 188 países e afeta 91% dos estudantes do mundo, segundo levantamento da Unesco, braço da ONU para educação, ciência e cultura. Mas cientistas têm feito cada vez mais questionamentos sobre a eficácia dessa medida."
"Coronavírus: obesidade pode ser fator de risco para a covid-19, afirma especialista","As primeiras observações relacionadas ao perfil dos infectados pelo novo coronavírus sinalizam que a obesidade pode ser um fator de risco para o agravamento da doença causada por ele, a covid-19, observa o cardiologista e especialista em hipertensão Oscar H. Cingolani. "
Coronavírus: as respostas para as perguntas mais buscadas pelos brasileiros no Google,Com a pandemia causada pelo novo coronavírus veio uma enxurrada de informações sobre a doença que tem deixado muita gente confusa.
"Sem trabalho, com fome e medo de ir ao médico: o drama dos brasileiros ilegais na quarentena em Londres","Às 21h56 de domingo (5 de abril), nove minutos antes do horário programado, decolava o último voo direto da companhia aérea Latam de Londres com destino a São Paulo. O próximo só partirá no fim deste mês, quando se espera que as regras de isolamento social decretadas pelo governo britânico para combater a pandemia de coronavírus comecem a ser afrouxadas. O paulista G., de 23 anos, era um dos passageiros."
Coronavírus: em dúvida se poderá receber o auxílio de R$ 600? Veja 15 casos,A BBC News Brasil recebeu nos últimos dias muitas perguntas sobre o 
Coronavírus: média diária de mortes no Brasil já é 3 vezes a da gripe,"A covid-19, a síndrome respiratória aguda grave causada pelo novo coronavírus, já matou três vezes mais do que a gripe matou por dia, em média, em 2019."
