title,subtitle
Quando a ditadura perseguiu cientistas e interrompeu pesquisas: os 50 anos do 'Massacre de Manguinhos',"Parecia mentira, mas não era: o governo militar decretou, em pleno 1º de abril de 1970, a aposentadoria compulsória de 10 dos mais respeitados pesquisadores brasileiros."
"Ignacio López-Goñi, o cientista que ousou dar 10 boas notícias sobre o coronavírus (e continua otimista)",O pesquisador espanhol nunca pensou que seu artigo seria traduzido para vários idiomas e compartilhado no mundo todo.
"Morrem 51% que chegam à UTI no Reino Unido, diz levantamento","Estudo analisou casos de 3.883 pacientes; destes, 1.689 receberam alta ou morreram. O restante continua internado."
Respiração fora do corpo: a tecnologia que parece saída de filme e ajuda a salvar vidas na pandemia de coronavírus,"Até agora, ao menos 10 pacientes com covid-19 já foram beneficiados pela respiração extracorpórea em centro de saúde em Barcelona."
Coronavírus: o que apontam os estudos com cloroquina e outros possíveis remédios,"Fármacos já aprovados e utilizados para outras doenças seriam a melhor aposta, mas sua eficácia e segurança ainda não foi comprovada cientificamente; uso de plasma e até de sangue de verme marinho também está sendo estudado."
Coronavírus: como o mundo desperdiçou a chance de produzir vacina para conter a pandemia,Pesquisadores enfrentaram falta de interesse e financiamento para continuar pesquisas com vacinas que poderiam ter sido úteis no enfrentamento do novo coronavírus.
Site que traz avanço do coronavírus no mundo em tempo real tem 1 bilhão de acessos por dia,"Lauren Gardner comanda portal da Universidade Johns Hopkins, que exibe número de casos confirmados, de mortes e de sobreviventes de covid-19 em todos os países do mundo."
Do nipah ao coronavírus: destruição da natureza expõe ser humano a doenças do mundo animal,"Cientistas apontam que mudanças climáticas e ações humanas como o desmatamento provocam expulsão de animais de seu habitat e força contato com bichos de outras espécies, criando condições para “pulo” de patógenos entre eles."
"Quem é Anthony Fauci, principal cientista dos EUA no combate ao coronavírus, que contradiz Trump sobre cloroquina","Médico, um dos um dos mais importantes especialistas do mundo em epidemias, e o presidente americano frequentemente divergem sobre medidas para lidar com pandemia, mas ele segue contando com apoio de Trump, apesar de críticas de seus aliados."
"Coronavírus: graças a isolamento, pandas em zoológico acasalam após dez anos de tentativa",Casal no zoológico de Hong Kong aproveitou a falta de visitantes para se reproduzir.
Cães farejadores serão treinados para detectar coronavírus,"Pesquisadores primeiro precisam descobrir como ""capturar com segurança o odor do vírus dos pacientes""."
9 coisas que os cientistas ainda não sabem sobre o coronavírus,"Alguns aspectos básicos do Sars-Cov-2 e pandemia de covid-19 causada por ele ainda não foram completamente compreendidos, e isso é fundamental para combater sua propagação."
"Coronavírus: os sites que mostram dados de mortes, curvas de contágio e situação dos Estados no Brasil","Diversos especialistas, veículos jornalíticos e autoridades de saúde criaram sites com números, textos e gráficos atualizados em tempo real, para tornar o grande número de informações sobre a covid-19 mais compreensíveis para a população. A BBC separou alguns com dados sobre o Brasil."
Que países e territórios ainda não têm casos confirmados de coronavírus?,"Pandemia chegou a mais de 180 países e territórios, mas cerca de 40 locais no mundo todo ainda não registraram infecções – pelo menos oficialmente."
"De engenheiros a estatísticos, Unicamp mobiliza batalhão de cientistas contra o coronavírus","Universidade paulista cria força-tarefa com pesquisadores voluntários para acelerar realização de exames, testar novos tratamentos médicos e desenvolver equipamentos de proteção."
Coronavírus: por que o Brasil ainda não conseguiu fazer testes em massa?,"OMS recomenda testar toda pessoa suspeita de ter se infectado, mas faltam materiais para testes e demanda supera capacidade dos laboratórios; aumentar testagem é fundamental para saber tamanho real da epidemia e elaborar estratégias de combate ao vírus."
Coronavírus: as respostas para as perguntas mais buscadas pelos brasileiros no Google,"Buscador compilou as principais dúvidas pesquisadas desde 26 de fevereiro, quando foi registrado oficialmente o primeiro caso no país."
Como as medidas contra o coronavírus estão fazendo a Terra vibrar menos,Isolamento social fez com que 'ruído sísmico' causado por seres humanos fosse reduzido nas últimas semanas.
Os cientistas brasileiros que bancam pesquisas com o próprio bolso,Escassez de recursos e falta de financiamento no país obrigam muitos cientistas a pagar para trabalhar.
"Cidades dos EUA que usaram isolamento social contra gripe espanhola tiveram recuperação econômica mais rápida, diz estudo","Medidas contra pandemia de 1918 incluíram ações similares as que têm sido adotadas hoje contra o novo coronavírus, como fechamento de escolas, teatros e igrejas."
Coronavírus: o que a Ciência diz sobre o uso da cloroquina contra a covid-19,Resultados positivos se restringem a testes laboratoriais e não há ainda testes clínicos que comprovem que ela seja eficaz ou segura.
O que é o isolamento vertical que Bolsonaro quer e por que especialistas temem que cause mais mortes?,"Medida seria solução mais suave para a pandemia de coronavírus, mas é baseada em estatísticas escassas e poderia jogar o mundo em colapso de saúde se falhar."
O que mutações podem representar no combate ao novo coronavírus,"Especialistas dizem acreditar ser baixa a possibilidade de mutação do vírus que causa covid-19, o que facilita seu combate por meio de uma futura vacina."
Coronavírus: o que diz a Ciência sobre 6 pontos do discurso de Bolsonaro,BBC News Brasil analisou fala de presidente sobre covid-19 à luz de evidências científicas e experiências de outros países.
Coronavírus: americano morre após o se automedicar com cloroquina usada em limpeza de áquario,"Autoridades de saúde alertam que as pessoas não devem se automedicar com cloroquina, substância usada para tratar malária, lupus e artrite reumatóide e que não há nenhuma droga aprovada para tratar ou prevenir covid-19."
'Lentidão e descaso com os pobres': como governos brasileiros reagiram a epidemias na História,"Segundo especialistas ouvidos pela BBC News Brasil, apesar de terem ocorrido em épocas distintas, comportamento e ações de autoridades públicas pouco mudaram."
"Sair do isolamento agora é querer voltar a mundo que não existe mais, diz virologista Atila Iamarino","Preocupação deveria ser em preparar a economia para resistir à quarentena. Isolamento é forma de ganhar tempo para pensar outras medidas, diz biólogo especialista em vírus."
Coronavírus: Por que testes de anticorpos podem levar a uma guinada na saúde e na economia,Uma aplicação em massa deste tipo de exame pode nos levar a descobrir se os números de infectados e mortos que crescem a cada dia são apenas a ponta de um iceberg ou não e elaborar estratégias mais eficazes de lidar com a pandemia.
"Coronavírus: fim do isolamento social não impede recessão econômica, diz estudo","'No longo prazo, a redução permanente da população e no PIB real seria de 0,65% refletindo a mortalidade da epidemia', diz o pesquisador Sergio Rebelo, da Universidade Northwestern, nos EUA."
Como seu cérebro muda enquanto você come,"Os circuitos neurais, que controlam as sensações de fome e saciedade em nosso cérebro têm a capacidade de modificar suas conexões, segundo novo estudo."
Coronavírus: chefe de pesquisa de vacina no Brasil está em isolamento,"Médico Jorge Kalil, responsável por pesquisa sobre coronavírus no Brasil, está isolado após filho ser diagnosticado com o novo coronavírus."
"Curva de contágio do coronavírus no Brasil repete a de países europeus, alertam especialistas da Itália","A pedido da BBC News Brasil, analista de dados e médico atuando no país europeu analisaram cenário brasileiro — e ele repete padrão dos lugares que mais sofrem com doença."
Coronavírus: o que está por trás do sucesso da Coreia do Sul para salvar vidas em meio à pandemia,"Mesmo com um alto número de infectados por coronavírus, a Coreia do Sul apresenta uma taxa de mortalidade baixa em comparação a outros países; grande número de testes e informações precisas sobre pacientes são parte do método sul-coreano para diminuir os efeitos do coronavírus."
