title,subtitle
"Crise pode superar Grande Depressão se retomada não incluir testes, diz Nobel de Economia","Em entrevista à BBC News Brasil, Paul Romer diz que, para salvar vidas e a economia, caminho é aumentar os testes para coronavírus e produzir equipamentos de proteção para as pessoas poderem voltar a trabalhar mesmo enquanto o vírus está em circulação."
Como a crise de 2008 pode ter ajudado a Grécia no combate à pandemia de coronavírus,"País mediterrâneo tem muito menos casos confirmados e mortes do que vizinhos como Itália e Espanha; antecipação de medidas para contenção de contágio foi essencial, dizem especialistas."
Coronavírus: Câmara aprova socorro de R$ 90 bilhões para governos dos Estados e municípios,"Valor do pacote de auxílio foi diminuído por pressão da equipe chefiada por Paulo Guedes (Economia). Impacto será de cerca de R$ 80 bilhões, segundo o presidente da Câmara, Rodrigo Maia."
"PIB do Brasil vai cair cinco vezes mais que média dos emergentes em 2020, prevê FMI","Economia brasileira terá retração de 5,3% neste ano, segundo previsão do FMI; no mesmo período, é dia dos países emergentes é de uma queda de 1%."
"Coronavírus: sem trabalho de estrangeiros, Alemanha convoca voluntários para colheitas","Início da primavera traz anualmente à Alemanha cerca de 300 mil trabalhadores sazonais vindo de países do leste europeu, mas fechamento de fronteiras obrigou país a pensar em alternativas."
"Coronavírus: confinamento é um luxo inviável para os mais pobres, afirma sociólogo francês","'É como se a vida dos pobres não tivesse nenhum valor', afirma Hamza Esmili, pesquisador e professor da Universidade Paris 8, em entrevista à BBC News Mundo."
Os setores que ainda estão contratando em meio à pandemia,"Covid-19 deve causar a maior crise no mercado de trabalho desde a Segunda Guerra, mas ainda há oportunidades em alguns setores - não apenas na saúde."
Coronavírus: 'dupla curva' mostra que escolher entre salvar vidas ou a economia é falso dilema,"'Se você não entrar em quarentena por causa da pandemia, ela causa mais problemas e mais danos econômicos', diz o economista Richard Baldwin, professor em Genebra."
Meirelles defende 'imprimir dinheiro' contra crise do coronavírus: 'Risco nenhum de inflação',"Em entrevista à BBC News Brasil, ex-presidente do BC apoia medidas extraordinárias contra impacto da pandemia, mas diz que reservas internacionais devem ser preservadas."
Coronavírus: boates de Berlim tentam sobreviver com baladas 'virtuais',"Há anos, a cena noturna da capital alemã resiste aos interesses de investidores. Agora, a pandemia pode levar muitos clubes à falência - e eles estão lutando para evitar que isso aconteça."
Coronavírus: em dúvida se poderá receber o auxílio de R$ 600? Veja 15 casos,Governo anunciará o calendário de pagamentos nesta segunda.
Coronavírus: 4 previsões para a economia brasileira que despencaram em um mês,Economistas do mercado financeiro passaram a prever uma recessão na economia brasileira em 2020.
'Quarentena para quem?': trabalhadores enfrentam ônibus cheio e proteção precária,"'Se não tiver uma ajuda, quem não tem renda fixa ou dinheiro guardado passará fome', diz catadora de reciclagem que também sustenta marido desempregado e três filhos."
"Coronavírus: 92% das mães nas favelas dizem que faltará comida após um mês de isolamento, aponta pesquisa","Levantamento faz parte das ações de campanha 'Mãe de Favela', criada para arrecadar recursos a serem distribuídos para mães das favelas em todo o país."
Coronavírus: auxílio de R$ 600 já pode ser solicitado por aplicativo; entenda as regras,"Pagamento deve começar nesta quinta, mas maioria vai receber primeira parcela a partir do dia 14"
A 'arriscada' aposta da Suécia de combater o coronavírus protegendo economia e liberdades individuais,País escandinavo considera que 'ainda' não é necessário paralisar produção e comércio para deter avanço da epidemia.
"Governo acerta na direção, mas atraso nas medidas contra coronavírus aumenta riscos, dizem economistas","Especialistas ouvidos pela BBC News Brasil apontam que, enquanto medidas de socorro emergencial anunciadas e aprovadas pelo Congresso não forem colocadas em prática, milhares de pessoas seguirão desprotegidas, mais de um mês depois após primeiro caso de covid-19 no Brasil."
Bolsonaro diz que pode determinar abertura do comércio com 'uma canetada' semana que vem,"Em entrevista à rádio Jovem Pan, presidente afirmou ter medida provisória pronta para liberar o comércio, caso governadores não relaxem medidas a partir da próxima segunda-feira (06)."
Coronavírus: governo lança programa para redução e suspensão de salário dos trabalhadores,"Governo pagará benefício aos empregados afetados, mas nem todos terão compensação total das perdas salariais"
O megapacote econômico anunciado pelo governo do Peru para enfrentar a crise do coronavírus,"Serão mais de US$ 25 bilhões, o equivalente a 12% do PIB do país; disciplina fiscal e boas reservas internacionais ajudariam a enfrentar crise, apontam analistas."
Trabalhadores se isolam em fábrica para continuar produzindo 50 mil máscaras por dia,"Funcionários dizem que medida é necessária para prevenir o contágio na linha de produção e garantir que será possível proteger os médicos da Tunísia, onde há 278 casos confirmados de coronavírus e 8 mortes até agora."
"'O rico vai ter que ajudar o pobre' para proteger empregos na crise do coronavírus, diz dono da TNG","'Chegou a hora: o governo vai ter que ajudar, os bancos vão ter que ajudar, os locadores vão ter que ajudar', afirma Tito Bessa Junior, que diz recursos são urgentes para que milhares de funcionários dos shoppings não fiquem sem salário já a partir de abril ou maio."
Coronavírus: o desespero de pequenos empresários forçados a fechar as portas,"Impacto da pandemia entre pequenas empresas poderá ter grandes consequências para a economia nacional — segundo o Sebrae, micro e pequenas empresas respondem por 52% dos empregos com carteira assinada no setor privado no Brasil."
"Medidas econômicas de Bolsonaro contra o coronavírus são inferiores às de outros países, aponta FGV","Medidas para ampliar gastos na saúde e socorrer economia somam cerca de 4% do PIB, quase dez vezes menos que esforço alemão."
Coronavírus: as medidas para proteger caminhoneiros e o medo do impacto econômico da pandemia,"Nos últimos dias, Ministério da Infraestrutura anunciou suspensão de pesagem nas rodovias federais para evitar contágio entre caminhoneiros e estuda outras medidas, como flexibilização da lei do descanso."
Coronavírus: a proposta de pesquisadores do Ipea para proteger os 30% mais pobres,Recomendação prevê que parcela mais pobre dos brasileiros terá renda mensal de pelo menos R$ 450 por família durante o período de crise.
Demitidos por causa do coronavírus: os brasileiros que já ficaram desempregados com a pandemia,A Associação Brasileira dos Lojistas Satélites (Ablos) estima que cerca de 4 milhões de pessoas que trabalham na área podem ficar desempregadas após a crise provocada pelo novo coronavírus.
Coronavírus: Por que testes de anticorpos podem levar a uma guinada na saúde e na economia,Uma aplicação em massa deste tipo de exame pode nos levar a descobrir se os números de infectados e mortos que crescem a cada dia são apenas a ponta de um iceberg ou não e elaborar estratégias mais eficazes de lidar com a pandemia.
"Brasil deveria fazer 'esforço de guerra' para manter as pessoas em casa, diz economista da Universidade de Chicago","Professor na escola em que o ministro Paulo Guedes se formou, Luigi Zingales critica a postura do governo diante de pandemia e defende renda universal para brasileiros financiada por taxação de riquezas."
"Governo tem que dar renda a empresas e trabalhadores parados durante crise do coronavírus, diz vice da Fiesp","Para líder empresarial, país precisa de discurso unificado entre poderes para reduzir danos tanto para a saúde dos brasileiros quanto para a economia"
Coronavírus: Bolsonaro recua e revoga autorização para suspender salários por 4 meses,Medida Provisória que permitia suspender o contrato de trabalho para participação do empregado em curso de qualificação online.
"Entre infartos, falências e suicídios: os 30 anos do confisco da poupança","Especialistas recordam a mais polêmica medida econômica adotada pelo Plano Collor, em março de 1990."
Pesquisador de Princeton sugere plano urgente para proteger trabalhadores mais pobres: 'Governo dá sinais de despreparo',"Na atual pandemia de coronavírus, a resposta do governo para evitar tanto o aumento da pobreza quanto um colapso da economia tem sido muito aquém do necessário, na opinião de Marcelo Medeiros."
"'Diaristas não existem para o governo', diz ONG sobre falta de proteção na crise do coronavírus","Para Mario Avelino, pacote de Paulo Guedes desconsidera as 2,5 milhões de diaristas do Brasil; empregadores devem dispensar e pagar funcionárias"
Coronavírus: o que as grandes economias do mundo estão fazendo para evitar falências e a falta de dinheiro,"Com a pandemia de coronavírus se espalhando, os Estados Unidos e grandes economias da Europa e da América Latina estão tomando medidas emergenciais para tentar salvar a economia. Mas até onde isso é possível? Se a pandemia persistir, o que os países poderiam fazer?"
"Coronavírus: o impacto na economia chinesa, e por que isso é uma grande ameaça ao mundo","O impacto da pandemia de coronavírus na economia chinesa ainda não é totalmente conhecido, mas os números preliminares apontam um cenário problemático. Além disso, uma queda da segunda maior economia mundial pode afetar fortemente outros países."
"Coronavírus: Economia global vai sofrer anos até se recuperar do impacto da pandemia, afirma OCDE","Angel Gurría, secretário-geral da entidade, afirmou em entrevista à BBC que o choque econômico já é maior do que a crise financeira de 2008 ou a de 2001, após os ataques de 11 de Setembro. Um crescimento global previsto para este ano de 1,5%, disse, já soa otimista demais."
'Dói ver o dinheiro derreter': os jovens que foram da euforia ao prejuízo na Bolsa,"Total de pequenos investidores praticamente dobrou entre 2018 e 2019, chegando a 1,9 milhão — grupo que mais cresceu foi o de jovens."
"Coronavírus: após críticas por demora, Guedes anuncia pacote de R$ 147 bilhões contra estragos na economia",Medidas incluem antecipação de recursos para idosos e adiamento de impostos para empresas.
Coronavírus: Trump se diz 'muito feliz' após EUA baixar juros e lançar enorme programa de estímulo econômico,"Medida para combater impacto do novo vírus foi coordenada em conjunto com parte da Europa, Japão e Canadá"
Coronavírus: o impacto sem precedentes da doença sobre as companhias aéreas - e os preços das passagens,"Em alguns aeroportos, o panorama é sombrio; indústria da aviação projeta perdas de bilhões, enquanto o preço das passagens continua a cair devido à baixa demanda."
Por que o real é a moeda que mais perdeu em relação ao dólar em 2020,"Em 2020, enquanto o real já caiu 15,5% em relação à moeda americana, a perda foi de 4,98% na moeda do México (peso mexicano), 9,40% da África do Sul (rand), e 12,75% da Turquia (lira turca)."
"Em dia de pânico no mercado, Bolsonaro diz nos EUA que é leal 'às políticas econômicas de Paulo Guedes'","Em viagem aos EUA, ele diminuiu o tom em relação ao Congresso, alvo de manifestação marcada por seus apoiadores em 15 de março, e afirmou que a equipe econômica do governo está 'absolutamente tranquila'."
A guerra de preços entre Rússia e Arábia Saudita que derrubou o preço do petróleo,"A ruptura da aliança entre Moscou e Riad para sustentar o preço do petróleo parece ter chegado a um final abrupto, dando início a uma guerra de preços."
"'Não acompanhei, você é que está me contando', diz Skaf sobre Bolsonaro usar comediante para ironizar PIB","Em entrevista à BBC News Brasil, presidente da Federação das Indústrias do Estado de São Paulo nega alinhamento político da entidade ao governo federal e diz que possível filiação dele próprio ao Aliança Pelo Brasil seria 'assunto meu, não da Fiesp'."
"O que está por trás da alta recorde do risco-país, que mede a desconfiança do investidor estrangeiro sobre o Brasil","Indicador aumentou 33% nos últimos dias; segundo especialistas ouvidos pela BBC News Brasil, agentes estão percebendo que país está mais vulnerável por causa do coronavírus e do petróleo."
"Petrobras perde R$ 91 bi em valor de mercado, maior queda em mais de 30 anos","Não se via uma queda assim havia mais de 30 anos. Na segunda-feira de pânico nas bolsas de valores, a Petrobras perdeu R$ 91 bilhões em valor de mercado, segundo dados da empresa de informações financeiras Economatica."
Por que a Bolsa teve forte alta após a queda histórica de segunda-feira,"O principal índice da bolsa de valores brasileira voltou a subir de maneira expressiva nesta terça-feira, recuperando parte das perdas causadas pelo avanço do novo coronavírus e pela instabilidade no mercado de petróleo."
Coronavírus: Oito gráficos que mostram o impacto da covid-19 sobre a economia mundial,"Segundo o ministro da Economia brasileiro, Paulo Guedes, o surto pode reduzir o crescimento do Brasil entre 0,1 ponto percentual, na melhor das hipóteses; na pior, 0,5."
Votação de proposta de Bolsonaro que devolve verba bilionária para Congresso é adiada novamente,"Em carta, parlamentares contrários a acordo pressionam presidente a retirar projeto de lei."
"O lado pobre da Faria Lima, coração do PIB de São Paulo","Palco de bancos de investimento e empresas de tecnologia, a avenida Brigadeiro Faria Lima também tem um enorme contingente de pessoas comuns que usam a rua para sobreviver."
"O acordo de Bolsonaro com o Congresso para recuperar o controle sobre os R$ 30,1 bilhões do Orçamento","Presidente negou acordo em rede social, mas enviou ao Congresso projetos que mantêm parte do poder de deputados e senadores sobre os R$ 30,1 bilhões do Orçamento."
O passado rico da cidade mineira que se tornou polo de 'exportação' de imigrantes ilegais aos EUA,"Considerada a 'terra da promissão' nos anos 40, com atração de imigrantes de outros Estados e presença americana durante a 2ª Guerra, município converteu-se em reservatório de mão-de-obra para a indústria e trabalho doméstico após esgotamento da exploração de recursos naturais."
"Após acordo, Congresso e Bolsonaro dividem bolo de R$ 30 bi, em perda inédita de recursos do governo federal","Parlamentares mantiveram veto do presidente que impedia perda maior de recursos, mas Planalto teve que ceder controle sobre R$ 15 bilhões do Orçamento."
PIB: Por que 2019 frustrou mais uma vez as expectativas de crescimento da economia?,Crescimento em 2019 não chegou à metade do esperado pelos economistas em janeiro. Quais as chances de algo semelhante acontecer em 2020?
O país que já foi o 'menos desenvolvido do mundo' e hoje supera a China em crescimento,"Graças a um boom econômico, associado a avanços em educação e saúde pública e um menor índice de vulnerabilidade, Bangladesh agora se apresenta como um país deve se livrar em 2024 do selo de Países Menos Desenvolvidos (PMD) da Organização das Nações Unidas (ONU)."
'Por que foi bom negócio dar aumento para todos e reduzir meu salário em US$ 1 milhão por ano',"Dan Price, dono de empresa de pagamentos com cartão, fixou salário mínimo anual de US$ 70 mil (R$ 315 mil) para todos 120 funcionários."
Por que é polêmico comparar as contas do governo com o orçamento doméstico?,"Usada por políticos de diversas vertentes, a comparação das contas do governo com o orçamento de uma família pode ser didática, mas tem sérias limitações, segundo economistas ouvidos pela BBC News Brasil."
Como pedir demissão quando a empresa é da família,"Trabalhar no negócio da família pode ser difícil — sair dele, mais ainda."
Década perdida: por que indústria brasileira continua em recessão apesar de juro baixo e dólar alto?,"Entre 2011 e 2019, produção encolheu 15% no país e hoje opera no mesmo nível de 2004; entre 14 Estados acompanhados pelo IBGE, 11 acumulam resultado negativo — em São Paulo, queda foi de 20%."
Por que seu próximo colega de trabalho pode ser um robô,"Avanço de tecnologia está permitindo que robôs desempenhem tarefas cada mais parecidas às dos humanos, revolucionando antigos paradigmas do mercado de trabalho."
"Mercado foi 'excessivamente otimista' com capacidade de entrega do governo, diz economista","Para Zeina Latif, economista-chefe da XP Investimentos até janeiro deste ano, não havia sinalização de que o governo teria 'grande ímpeto reformista' passada a Previdência. Polêmica recente envolvendo Planalto e Legislativo reforça, em sua visão, a falta de comprometimento com as reformas."
Como epidemia de coronavírus pode ter efeito positivo no meio ambiente,Fechamento de fábricas e lojas na China e restrições de viagem para lidar com a disseminação do vírus resultaram em redução nas emissões de CO2 e no uso de combustíveis fósseis.
