title,subtitle
"Crise pode superar Grande Depressão se retomada não incluir testes, diz Nobel de Economia","Em entrevista à BBC News Brasil, Paul Romer diz que, para salvar vidas e a economia, caminho é aumentar os testes para coronavírus e produzir equipamentos de proteção para as pessoas poderem voltar a trabalhar mesmo enquanto o vírus está em circulação."
Coronavírus: o que é a carga viral dos pacientes e por que ela coloca os profissionais de saúde em risco,"Tendência ao redor do mundo é de que, apesar de usar roupas e máscaras protetoras, profissionais de saúde são os que mais ficam infectados e com mais chances de ficarem gravemente doentes."
"'Vivemos isolamento dentro do isolamento': como pandemia é enfrentada na Antártida, único continente sem casos","Coronavírus ainda não chegou ao 'continente de gelo', mas seus poucos habitantes, acostunmados a viver isolados, estão adotando medidas preventivas rigorosas."
"Coronavírus: 4 fatores que explicam o impacto da covid-19 nos EUA, país com maior número de infectados e mortos","Resposta tardia, problemas com testes e falta de coordenação entre Estados ajudam a entender como a maior potência mundial transformou-se no epicentro da pandemia."
"Coronavírus: mortes no Brasil passam de 1,3 mil; casos confirmados são mais de 23 mil","São Paulo concentra maioria dos óbitos registrados oficialmente, seguido por Rio de Janeiro e Pernambuco."
Brasileiro que foi visitar filho e neto morre de coronavírus em Londres,"'O coronavírus foi matando meu pai por dentro', diz filho; idoso ficou 19 dias internado em dois hospitais da capital inglesa; Reino Unido registra 11.329 mortes e 88,6 mil casos."
Coronavírus: por que a população negra é desproporcionalmente afetada nos EUA?,"Segundo especialistas, as disparidades são resultado de desigualdades estruturais que fazem com que comunidades negras no país fiquem mais suscetíveis ao contágio."
Coronavírus: misteriosa queda abrupta de casos na África do Sul intriga especialistas,"Nas últimas duas semanas, país passou por situação excepcional que médicos não conseguem explicar: uma queda dramática e inesperada na taxa diária de novas infecções por coronavírus."
"Coronavírus: confinamento é um luxo inviável para os mais pobres, afirma sociólogo francês","'É como se a vida dos pobres não tivesse nenhum valor', afirma Hamza Esmili, pesquisador e professor da Universidade Paris 8, em entrevista à BBC News Mundo."
"O hospital de NY que já enfrentou febre amarela, cólera, Aids, ebola e, agora, coronavírus","Nos últimos séculos, o Hospital Bellevue, em Nova York, se confunde com a história da cidade americana e dos avanços da medicina."
"A volta do coronavírus a Cingapura, país que era ‘exemplo’ no combate à doença","O pequeno e rico país da Ásia tinha uma estratégia para conter o avanço da covid-19 que foi reconhecida como exemplo mundial, mas erros no caminho mudaram as coisas."
Coronavírus: as tensões diplomáticas que a pandemia provocou ao redor do mundo,"Os atritos entre autoridades brasileiras e a China foram notícia nas últimas semanas, mas não são os únicos."
"'Se morre sua mãe, é 100%. A perda é absoluta', diz médica paliativista sobre ameaça do coronavírus","Autora de 'A morte é um dia que vale a pena viver' e 'Histórias lindas de morrer', Ana Claudia Quintana Arantes vê na pandemia cenário ainda mais desafiador para a consciência da morte e o luto."
