title,subtitle
Coronavírus: as respostas para as perguntas mais buscadas pelos brasileiros no Google,Com a pandemia causada pelo novo coronavírus veio uma enxurrada de informações sobre a doença que tem deixado muita gente confusa.
Coronavírus leva governo de Israel a se dar 'poderes especiais' de espionagem,O governo israelense aprovou medidas de emergência que autorizam suas agências de segurança a rastrear os dados de telefones celulares de pessoas com suspeita de coronavírus.
Coronavírus: os robôs usados para eliminar vírus em hospitais,"""Por favor, saia da sala, feche a porta e inicie uma desinfecção"", diz um robô."
Como comoção causada por morte de filho fez pais descobrirem sua vida secreta,
Coronavírus: como funcionam os respiradores e por que eles são chave na luta contra a covid-19, Eles são a última esperança para a maioria dos pacientes gravemente afetados pelo novo coronavírus.
"O caso de Gabriel Fernandez, o menino de 8 anos torturado e morto pela mãe e o padrasto retratado em série da Netflix","""É normal que as mães batam nos filhos?"" "
Coronavírus: quem está ganhando dinheiro com a epidemia,"A disseminação do novo coronavírus tem causado um terremoto nos mercados globais nos últimos dias, mas algumas empresas têm, pela natureza de seus negócios, conseguido ir bem nas bolsas com a crise."
"O empresário que perdeu US$ 1,8 bilhão quase da noite para o dia","Como você se sentiria se perdesse mais de US$ 1,8 bilhão (R$ 8,4 bilhões) quase da noite para o dia?"
O inseto que pode substituir cães farejadores na detecção de explosivos,"Para detectar explosivos, autoridades usam cães treinados especificamente para esse fim."
‘Somos cada vez menos felizes e produtivos porque estamos viciados na tecnologia’,"""Há um usuário novo, uma notícia nova, um novo recurso. Alguém fez algo, publicou algo, enviou uma foto de algo, rotulou algo. Você tem cinco mensagens, vinte curtidas, doze comentários, oito retweets. (...) As pessoas que você segue seguem esta conta, estão falando sobre este tópico, lendo este livro, assistindo a este vídeo, usando este boné, comendo esta tigela de iogurte com mirtilos, bebendo este drinque, cantando esta música."""
A indústria de robôs sexuais é uma ameaça à sociedade?,Pesquisadores americanos alertam que a venda de robôs representa uma ameaça psicológica e moral cada vez maior para os indivíduos e a sociedade.
"Atherton, a cidade mais rica dos EUA, onde a casa mais barata vale R$ 11 milhões","Embora não seja tão conhecida, Atherton é a cidade mais rica dos Estados Unidos."
Por que seu próximo colega de trabalho pode ser um robô," Você ouve EVA antes de vê-lo. Um ruído lhe dá as boas vindas quando você entra na sede da Automata, uma startup sediada em Londres."
O método revolucionário que revelou um antibiótico capaz de matar as bactérias mais perigosas,Um poderoso antibiótico capaz de matar algumas das bactérias mais resistentes e perigosas do mundo foi descoberto por uma equipe de pesquisadores que usa inteligência artificial.
Você comeria um 'filé' fabricado por uma impressora 3D?," Com o uso em larga escala de impressoras 3D por diversas indústrias, alguns setores vêm se aventurando com a tecnologia na expectativa de também incorporá-la a seu processo produtivo no futuro."
"Telas de novos celulares dobráveis formam bolhas e rachaduras, mostram testes"," Os telefones celulares dobráveis estão sendo alvo, mais uma vez, de questionamentos sobre sua durabilidade."
Como a manobra pioneira que uniu 2 satélites em órbita pode transformar as missões espaciais,"Um satélite comercial foi acoplado a um outro que estava em órbita, em uma demonstração do que muitos acreditam que será um nova e próspera fronteira na indústria espacial."
O que explica a incrível ascensão e o vertiginoso declínio dos patinetes no Brasil,"Eles chegaram com estardalhaço. Da noite para o dia, milhares de patinetes elétricos apareceram pelas ruas. Muita gente, empolgada com a novidade, aderiu por diversão ou como uma alternativa moderna de transporte. Coisa ""de primeiro mundo"". Era o futuro, agora."
As 4 empresas de tecnologia que já valem mais de US$ 1 trilhão,Este é um clube exclusivo formado por empresas que conseguiram alcançar cifras até pouco tempo inimagináveis.
Google Maps: 5 novas funções lançadas pelo aplicativo para comemorar seu 15º aniversário,"Em 2005, com a chegada do Google Maps, muita gente aposentou os mapas de papel e passou a adotar a ferramenta que mudaria para sempre a maneira como nos deslocamos pelas cidades e estradas."
