title,subtitle,,
Treinador de Weidman diz que pupilo enfrentou Rockhold com pé quebrado,"Ray Longo frisa, no entanto, que revelação não serve como desculpa para a derrota",,
Ciclistas posam para calendário sensual para promover modalidade,"Equipe Memorial Girls, de Santos, participa de ensaio fotográfico que valoriza a beleza e a sensualidade da mulher esportista. Ideia é atrair patrocinadores para o esporte",,
"Ex-WCT, surfista cearense supera AVC e reencontra prancha 5 meses depois","Após um longo processo de recuperação, um dos ícones do esporte no Ceará conseguiu vencer a doença e, aos poucos, voltou ao ""habitat natural"": a água",,
Lamar Odom reaparece em público e é aplaudido em show de Kanye West,"Em recuperação após ser encontrado inconsciente por consumo de drogas no ano passado, jogador mostra boa relação com ex-mulher em evento em Nova York",,
Hamilton curte últimos dias de férias antes dos treinos de pré-temporada ,"Em menos de uma semana, piloto vai ao Super Bowl 50, encontra Jay Z, Ben ",,
Gestor: Palmeiras trabalha para manter arena na Taça Libertadores,"Guilherme Lipi tenta tranquilizar torcedor ao afirmar que clube ""vai fazer de tudo"" ",,
"Lebron James faz mistério sobre ida aos Jogos do Rio: ""Ainda não decidi""",Astro do Cleveland lembra que já disputou três edições de Olimpíadas ,,
Procuradoria protocola recurso para que Neymar e pai sejam processados,"Ministério Público questiona forma como juiz conduziu análise de denúncia, rejeitada na semana passada, ao permitir que defesa tivesse acesso ao documento",,
"Sai Puma, entra Topper: Botafogo fecha com novo fornecedor esportivo","Clube acerta por três anos com empresa, que retoma parceria com Alvinegro após 15 anos. Anúncio oficial será feito em breve: ""Falta só assinar"", avisa diretor de marketing",,
Técnico Laurent Blanc deixa claro ,"Zagueiro está insatisfeito com a reserva, e treinador afirma que tomará uma decisão ",,
Ingressos caros e protestos: futebol é motivo de discussão na Inglaterra,Torcedores reclamam do aumento dos preços dos bilhetes com frequência no país,,
"Na melhor fase, Raulzinho usa Jogo dos Calouros para crescer na NBA","Brasileiro repete Nenê e terá a chance de participar do evento festivo na madrugada de sábado, à 0h (de Brasília), em Toronto, com transmissão ao vivo do SporTV.com",,
Eurico dá pontapé inicial ao clássico,"Presidente diz que foi preciso um ""treinador de São Paulo"" - se referindo ",,
São Paulo abre venda de ingressos para estreia no grupo 1 da Libertadores,"Na próxima quarta-feira, Tricolor receberá o The Strongest no Pacaembu. Sócios-torcedores têm prioridade na compra, que será aberta domingo aos demais torcedores",,
Obras nos centros de hipismo e tênis das Olimpíadas são retomadas,Prefeito Eduardo Paes anuncia recomeço dos trabalhos com novas empresas e no mesmo custo anterior após rescisão de contrato de antiga empreiteira,,
"Diego Costa sofre fratura no nariz: ""Somos o time do Zorro"", diz Hiddink",Atacante deve estar liberado para jogar neste sábado contra o Newcastle e se tornará o terceiro jogador do Chelsea a ter que usar máscara,,
"Ciclista é atropelado enquanto treinava na BR-364, em Rio Branco","Paulo César da Costa, 36 anos, compete na categoria elite do mountain bike acreano e foi levado em estado grave ao Huerb. Acidente aconteceu na noite desta quinta-feira",,
Porto vence Benfica de virada e volta a encostar nos líderes do Português,"Mitroglou abre placar para as Águias, mas Héctor Herrera e Aboubakar garantem 2 a 1 que deixa Dragões a três ponto dos primeiros colocados",,
"Jiangsu tenta contratar Falcao García com salário de R$ 1,1 milhão, diz jornal","Clube esgotou cota de estrangeiros, mas pode fechar com colombiano e emprestá-lo",,
"RB Brasil coloca ingressos gratuitos para jogo com a Ferroviária, sábado","Toro Loko não vai cobrar por entrada no setor família, em arquibancada descoberta no Moisés Lucarelli. Ingressos para as vitalícias, com direito a brindes, vão custar R$ 50",,
"Faber chama Cruz de campeão de vidro e diz: ""Fui forçado a deixá-lo vivo""","Único lutador a vencer o atual campeão peso-galo do UFC, ""California Kid"" destaca feitos de sua carreira e pede a Dana White novo combate contra ""The Dominator""",,
Paes vê exagero em zika e diz que doença não é problema olímpico,"Prefeito do Rio enxerga falta de conhecimento sobre a doença e defende pouca incidência da dengue nos meses do Rio 2016: ""Mosquito não está procriando"" ",,
"Top 10 gols, duelos e maiores públicos: Grêmio completa 100 jogos na Arena","Time soma 63 vitórias, 21 empates e 15 derrotas, com aproveitamento de 70,7%,",,
Caça-Rato é relacionado e tem chance de estrear pelo Guarani neste sábado,"CR7 viaja com a delegação para enfrentar o Velo Clube, ao lado do meia Douglas Packer. Bugre vai desfalcado de Lucas Bahia, Lenon, Max, Léo Rigo e Diego Tabata",,
Técnico diz que Pato ainda não fará sua estreia pelo Chelsea no sábado,"Guus Hiddink elogia evolução do brasileiro e projeta primeira aparição para o fim de semana seguinte, contra o Manchester City",,
"Ex-campeão peso-pesado do UFC, Kevin Randleman morre aos 44 anos","""O Monstro"" sofre insuficiência cardíaca após ser internado em hospital. Lutador realizou lutas épicas contra Pedro Rizzo, Bas Rutten e Fedor Emelianenko",,
"Após dar abraço em árbitro, Mateus Paraná se explica: ""Foi por impulso""","Bem-humorado, atacante do Boavista justifica gesto de afeto após marcação de pênalti no fim do jogo com Tigres e brinca: ""Todos criticam eles, mas ninguém abraça""",,
"Ferrari terá faixa branca no carro de 2016, diz jornal italiano; veja fotos","Apesar de equipe só revelar modelo 667 à imprensa mundial em 19 de fevereiro, a publicação ""La Reppublica"" divulga o que seriam imagens oficiais do monoposto",,
Reforma de parque aquático olímpico sofre atraso por causa de rede elétrica,Maria Lenk só deve ficar pronto no fim de abril devido a atraso na adequação da rede de energia. Local foi apresentado nesta sexta e vai receber evento-teste dos saltos ,,
"Bale está fora do jogo contra o Roma, pela Liga dos Campeões, diz Zidane","Zidane diz que galês voltou a sentir problema na perna direita e ficará de molho até estar 100%. Atacante também não jogará diante do Athletic Bilbao, pelo Espanhol",,
