title,subtitle
"Colômbia marca no fim, e Venezuela tem quinto empate no Sul-Americano","Mesmo com a menos no segundo tempo, colombianos fazem aos 40 do segundo tempo e garantem 1 a 1. Venezuelanos têm quinto empate em cinco jogos no torneio"
"""Gato"" da Copinha terá que prestar depoimento na DIG de Jundiaí","O delegado Luís Duarte, que investiga o caso, cogita a possibilidade do atleta Helton Matheus, que se passava por Brendon na Copa São Paulo, ser ouvido a distância"
R10 elege Chelsea o rival mais duro da carreira e diz que time já tentou levá-lo,"Ronaldinho Gaúcho relembra confrontos contra os Blues e gol marcante contra o time inglês em 2005. Jogador diz que clube tentou contratá-lo, mas negócio não foi adiante"
São Paulo aceita proposta do Ajax e vende David Neres por R$ 50 milhões,"Atacante de 19 anos vai jogar na Holanda e ainda terá 20% de seus direitos econômicos ligados ao Tricolor, que ganha um alívio em suas problemáticas contas"
Benfica perde para Vitória de Setúbal e vê diferença para o Porto diminuir,"Ainda líderes, Águias caem por 1 a 0 e agora estão a apenas um ponto do rival"
"Com protesto, Corinthians cancela mais uma vez a votação do orçamento",Integrantes de organizada cobram dirigentes durante reunião dos conselheiros. Mudança no Conselho Fiscal motivou novo adiamento da análise das contas
"Walace agradece ao Grêmio: ""Não é uma despedida, mas um até logo""",Volante reiterou carinho pelo clube gaúcho após se acertar com o Hamburgo
Árbitro relata suposta injúria racial contra treinador da Caldense,"Thiago Oliveira e o massagista do clube teriam sido chamados de ""macaco"" por um torcedor da URT após o jogo deste domingo (29) em Patos de Minas (MG)"
"McGregor critica insinuações de que torceria contra Ronda: ""Sempre apoiei""",Irlandês ainda minimiza fato de que a americana não precisou dar entrevistas antes
"Em busca de meia, Ponte analisa Matheus Cassini, ex-Corinthians","Aos 20 anos, ex-promessa do Timão é oferecida aos campineiros; clube italiano "
"O ""muro"" do bem de Washington: Wall reduz erros e transforma os Wizards","Depois de um péssimo início de temporada, time se encontra comandado por seu armador e já entra na briga pelo segundo lugar na Conferência Leste"
"Nem elogia ""treino fera"" e sugere ao São Paulo: ""Vende um e me compra""","Emprestado pelo Shakhtar até o fim do ano, atacante sugere que dinheiro de vendas seja usado para contratá-lo. Treinos de Ceni também são elogiados"
Modelo ignora rejeição e usa dinheiro da passarela para jogar futebol no AM,"Vanessa Taube passou a desfilar profissionalmente por exigência da mãe, que nunca aceitou a preferência pela bola. Atualmente, a jovem segue as duas carreiras"
"Acostumada a pressão, Ágatha vibra por iniciar ciclo olímpico como favorita","Paranaense luta para chegar aos Jogos de Tóquio, em 2020, ao lado de Duda. Ano começa com título da etapa do Circuito Brasileiro de Vôlei de Praia, em João Pessoa"
"Com aval de Hernanes, São Paulo tenta seu retorno por empréstimo",Diretoria diz ter sinal do meio-campista e tenta convencer Juventus (ITA) a liberar. Negócio não está atrelado a uma provável venda de Lyanco
Além do gramado! Camilo Mussi sofre críticas por estrutura: 'Não é adequado',"Estádio do Barroso havia gerado polêmica na estreia pela grama sintética e linhas extras; delegado do jogo diz que vestiário dos árbitros ""não possui sanitários e pia"" "
"Guilherme relativiza problemas de marcação: ""Treinos estavam bons""","Meia admite que equipe não encaixou no clássico contra o Fluminense, mas demonstra confiança em evolução: ""O campeonato começou agora. Bola para frente"""
