title,subtitle
Corinthians x Flamengo: CBF antecipa primeiro jogo da final do Brasileirão Sub-17 para o dia 10,"Primeiro jogo será realizado no sábado, na Arena Corinthians"
Pia Sundhage vai estrear na seleção brasileira feminina em torneio amistoso no Pacaembu,"Brasil vai sediar competição contra Argentina, Chile e Costa Rica no fim de agosto. Rival de estreia ainda não está definido"
"Emelec encerra preparação cheio de cautela antes de pegar o Flamengo: ""Não somos favoritos""","Time equatoriano faz último treino no CT do Fluminense e toma cuidado para não sentar sobre a vantagem do jogo de ida. Equipes se enfrentam nesta quarta, às 21h30, no Maracanã"
STJD indefere pedido do Vasco para impugnar jogo contra o Grêmio,Decisão será oficializada e comunicada aos clubes nos próximos dias
Rodrigo Maia quer abrir futebol brasileiro para investidores nos moldes dos clubes europeus ,Presidente da Câmara pretende apresentar projeto que obriga clubes a se tornarem empresas 
Argentina confirma Scaloni como técnico nas Eliminatórias da Copa do Mundo de 2022,"Em breve comunicado, AFA garante a continuidade do treinador na equipe nacional"
Vasco assina primeiro contrato profissional com goleiro promessa da base,"Cadu, de 16 anos, tem passagens pelas seleções de base e firmou vínculo até 2022"
Bayern atropela o Fenerbahçe e pega o Tottenham na final do torneio de pré-temporada ,"Com domínio completo do jogo e vitória fácil, time alemão disputará o troféu contra os Spurs em casa"
"Dominicana ""entorta"" braço no levantamento de peso e perde o ouro no Pan",Crismery Santana vinha liderando a competição até tentar levantar 143 kg e sentir lesão
Artilheiro da base vive dilema no Santos e aguarda proposta para assinar contrato profissional,"Marcos Leonardo treina com o elenco do Peixe, mas não pode ser relacionado"
Maxi Rodriguez estreia ao lado de primos gêmeos em terceira passagem pelo Newell's Old Boys ,"Hoje companheiro de equipe da dupla, ponta argentino carregava irmãos ao gramado durante primeira passagem pelo clube, mais de dez anos atrás"
"Comentaristas elogiam contratação de Luiz Adriano no Palmeiras: ""Chega pra jogar""",Atacante chega para ser o quinto centroavante do elenco
"Daniel Alves, Juanfran... Como está a busca do São Paulo por um lateral-direito",Janela internacional de transferências fecha nesta quarta-feira
"Carlos Augusto ignora sondagens da Itália e afirma: ""Penso em fazer história no Corinthians""","Alvo de Atalanta e Milan, segundo site italiano, lateral pede para não ser informado de ofertas"
"Luis Roberto vê retomada difícil no Brasileiro para Cruzeiro: ""Vai sofrer pra sair do buraco""","Para narrador, semana de decisões na Libertadores e na Copa do Brasil pode influenciar o emocional da Raposa para resto da temporada"
"Tuchel garante que Neymar voltará aos treinos com PSG: ""Ainda é um jogador meu""",Treinador alemão ainda diz que deixou o jogador de fora dos amistosos da pré-temporada para não forçar a recuperação
"Apresentada na seleção feminina, Pia Sundhage vibra com desafio e admite: ""É preciso mudar""","Sueca de 59 anos, bicampeã olímpica pelos EUA, tem a missão de levar o Brasil à primeira conquista a nível mundial. Jogadoras gravam vídeo de boas-vindas com recado em sueco de Marta"
Torcedores pedirão indenização por ausência de Cristiano Ronaldo em jogo da Juventus,Craque português foi contratado para jogar ao menos 45 minutos contra estrelas do Campeonato Sul-Coreano na última semana
Ceará tenta contratação de Arthur Cabral por empréstimo,Atacante foi revelado pelo Vovô e desde o fim do ano passado está no Palmeiras
Palmeiras anuncia a contratação do atacante Henrique Dourado,Jogador ficará no Verdão até o fim da temporada 2019
O amor está no pódio! Taekwondo brilha com casais medalhistas no Pan e promessa de casamento,"Os casais Talisca e Netinho, prata e ouro, Raiany e Ícaro, bronze e prata, ajudaram o taekwondo brasileiro a bater o recorde de medalhas conquistadas em uma edição do Pan"
"Com R$ 4 bilhões em jogo, governo abre consulta para regulamentar apostas até em estádios","Após regulamentação, jogos poderão ser feitos pela internet ou em bancas fixas já neste ano"
"Cavani destaca blindagem dos jogadores e lamenta distância dos fãs: ""É o que a gente sente mais falta""","Em trecho exclusivo, atacante uruguaio fala da relação com crianças e admiradores"
"Fluminense tem negociação avançada para emprestar Marlon ao Boavista, de Portugal",Lateral-esquerdo está fora dos planos de Fernando Diniz. Acordo deve ser por um ano
Palmeiras acerta contratação de Luiz Adriano e chega a cinco centroavantes no elenco,"Atacante do Spartak Moscou, da Rússia, vai assinar contrato válido até 2023"
"Alisson volta a treinar no Liverpool e mira mais títulos nesta temporada: ""Estou ansioso""","Goleiro brasileiro, no entanto, diz que equipe precisa tomar cuidado com favoritismo"
eFootball PES 2020 revela capa do game e disponibiliza demo com cinco clubes brasileiros,"Corinthians, Flamengo, Palmeiras, São Paulo e Vasco estão disponíveis na versão de testes do jogo. Messi divide capa com Gnabry, Pjanic e McTominay "
"Reinaldo mita, e seleção da rodada #12 do Cartola tem três do Santos e dois do derrotado Avaí","Mesmo perdendo por 3 a 1, clube catarinense tem o goleiro Lucas Frigeri e o meia João Paulo no supertime da jornada. Peixe tem trio estrangeiro: Carlos Sánchez, Derlis González e Sampaoli"
"Após perder gol cara a cara, Pepê chora ao deixar o campo, mas ganha apoio no Grêmio",Atacante desperdiça grande oportunidade no segundo tempo do empate com o CSA
Mourinho não se diz feliz o suficiente de férias e promete volta: “O Zé está cheio de fogo”,"Desempregado desde dezembro, técnico português revela ter recusado ofertas enquanto aguarda melhor oportunidade: “Quero o direito de escolher as pessoas que são Mourinhistas”"
"Jornalista sai em defesa de Diniz no Flu: ""As pessoas torcem contra num grau que parece pessoal""",Aydano André Motta diz que treinador do Fluminense precisa rever alguns conceitos para conquistar melhores resultados
Grêmio receberá quase R$ 2 milhões com venda de Fernando do Spartak ao futebol chinês,"Tricolor tem direito a 3,13% em razão do mecanismo de solidariedade pela negociação do clube russo ao Beijing Guoan"
"Aos 16, Bugha leva R$ 11,4 milhões por título mundial de Fortnite e entra no top 10 de premiados nos eSports","Com maior premiação dada a um único jogador no esporte eletrônico, americano supera até lendas vivas de modalidades coletivas como coreano Faker, do LoL, e brasileiro FalleN, do CS:GO"
FIFA 20: Zidane é anunciado como capa da edição Ultimate do game,"Técnico do Real Madrid aparece como astro na última versão do jogo, cujo lançamento acontecerá em setembro. Hazard e van Dijk aparecem nas outras edições"
"Humilde, Quiñónez dá receita para Emelec eliminar o Flamengo: ""Não são extraterrestres""","Com passagem pela seleção, experiente meia diz que vitória no jogo de ida não decide vaga e lembra: ""Sabemos que a folha é bem mais alta, mas todos têm duas pernas, dois braços"""
"Walter comenta propostas e festeja novo contrato: ""Mil vezes melhor estar no Corinthians""","Reserva de Cássio, goleiro foi procurado por duas equipes da Série A do Brasileirão"
Chelsea bane para sempre torcedor que fez ofensas racistas a Sterling,Clube londrino afasta ainda outros cinco torcedores por períodos de um a dois anos
PSG confirma contratação de volante senegalês ex-Everton,Idrissa Gueye chega por € 32 milhões e assina contrato com o Paris até 2023
"Caio exalta Sampaoli e Jesus no Brasil: ""São caras que jogam em intensidade parecida da Europa""","Ex-jogador elogia ideologia de técnicos de Santos e Flamengo no futebol brasileiro. Marco Antônio Rodrigues diz que argentino leva vantagem com ""ambiente favorável"" no Peixe"
Agenda do dia no Pan: Brasil busca o hexa no handebol e mais medalhas na ginástica (30),"Atual pentacampeã, a seleção brasileira de handebol feminino tenta o sexto título (e a vaga nas Olimpíadas de Tóquio), e, na ginástica, atletas tentam ampliar o domínio nas finais de aparelhos"
Corinthians rechaça consultas da Europa por Pedrinho e projeta venda acima de R$ 100 milhões,"Monaco e Atlético de Madrid procuram o meia do Timão, que não tem pressa para sair"
"Castán reconhece importância de Luxemburgo no bom momento do Vasco: ""Mérito total dele""","Zagueiro participou do programa ""Bem, Amigos"" desta segunda-feira, dia 29/07. E elogiou a mudança de ânimo trazida pelo experiente treinador. "
"Tardelli reclama de gramado e valoriza empate do Grêmio diante do CSA: ""De bom tamanho""","Tricolor ficou no 0 a 0 diante do Azulão no estádio Rei Pelé, pela 12ª rodada do Brasileirão, nesta segunda"
"Renato vê jogo ""fraco"" em empate com o CSA e diz que Grêmio errou nas tomadas de decisão","Técnico ainda reclamou do gramado do Rei Pelé, que prejudicou, segundo ele, o toque de bola do time"
"PSG aceita negociar Neymar por R$ 176 milhões a menos do que pagou, diz jornal catalão","Segundo o ""Sport"", time francês está disposto a baixar de 300 milhões de euros, o pedido inicial, para 180 milhões de euros e tenta negociar o atacante brasileiro com Barcelona"
"Com gol relâmpago do meio de campo, ABC vence América-RN no estadual sub-19; veja vídeo",Garoto Marcos faz gol com menos de cinco segundos e abre caminho para vitória alvinegra
Polícia de SP conclui inquérito e não indicia Neymar por estupro e agressão,"Apesar de solicitadas, imagens de câmeras de segurança e prontuário médico particular da modelo Najila não chegaram, mas delegada decidiu concluir inquérito na tarde desta segunda mesmo assim"
Bronze no Pan-Americano e classificação olímpica para a equipe de adestramento do Brasil,"Pais obteve a vaga olímpica após terminar na terceira colocação e ser beneficiado pelo fato de o time dos Estados Unidos, já classificado, conquistar a medalha de prata "
"Presidente do Santos confirma interesse em Pará, do Flamengo","""Esperamos que venha o mais rápido possível"", afirma José Carlos Peres; lateral de 33 anos está sem espaço no Rubro-Negro"
"Novo técnico não aparece na própria apresentação, e clube revela: ""Não trocamos telefones""","Marcão seria apresentado como treinador do Timon nessa segunda-feira, mas acabou não comparecendo no local marcado. Dirigente nega que entrevista coletiva seria apresentação oficial e afirma que situação não estremece relação"
Corinthians registra déficit no semestre e promete voltar a divulgar contas em breve,"Clube não publicou balancetes em 2019, como vinha realizando desde a volta de Andrés Sanchez"
"Rainbow Six: Milla comemora estreia na final do Brasileirão: ""Meu maior prêmio""","Vencedora o Looking for a Caster, primeiro reality show do SporTV, narrou a final do Brasileirão do jogo, realizada na Game XP"
"Na mira de clubes, Daniel Alves curte micareta e recebe declaração de Ivete: ""Só amor""","Sem clube desde o fim da última temporada, quando se despediu do PSG, Daniel Alves ainda não definiu o futuro "
Quebra de confiança e falta de respeito: Maria explica motivos para saída do Figueira,Técnico pediu demissão após oito meses no clube
"Arroyo conta que Diego aceitou seu pedido de desculpas: ""É um jogador muito maduro""","Autor de entrada dura que culminou em lesão grave, equatoriano diz que conversou com meia: ""Me deu mais tranquilidade"""
"DM do Cruzeiro: Edilson é liberado para preparação física, e Rodriguinho inicia fisioterapia",Lateral do Cruzeiro havia se machucado antes da parada para a Copa América e pode ser aproveitado nas próximas semanas pelo técnico Mano Menezes
"Júnior elogia atuação de Gerson pelo Flamengo em clássico: ""Jesus talvez tenha achado sua posição""","Comentaristas do Seleção SporTV vêem melhora em atuação da jovem contratação, dessa vez jogando pelo lado direito do campo"
"Draxler admite que ""não é fácil"" administrar egos de Neymar, Cavani e Mbappé no PSG","Atacante alemão faz vários elogios ao trio ofensivo do time francês, mas reconhece que é difícil lidar com as estrelas: ""Eles vivem futebol"""
Hemerson Maria pede demissão no Figueirense,Treinador deixa o Alvinegro após reunir o elenco para comunicar decisão 
Bruno Henrique revela cobrança no vestiário do Palmeiras e diz ver time pronto para dar resposta ,Verdão decide vaga na Libertadores contra o Godoy Cruz nesta terça-feira
Everton e Arrascaeta treinam com bola e vivem a expectativa de voltar ao Flamengo na quarta,Jogadores participam normalmente da atividade na reapresentação no Ninho do Urubu
Com “americana engasgada” Bia Ferreira lidera equipe de boxe do Brasil nos Jogos Pan-Americano,Pugilista vem brilhando no cenário internacional e sonha com ouro no torneio continental
"Por nota, Maxi López nega contato com Ceará: ""Não há nenhuma tratativa""",Diretoria do Ceará nunca falou sobre interesse no atleta
Antony tem inflamação no joelho esquerdo e inicia tratamento no São Paulo para pegar o Santos,"Atacante levou pancada durante vitória por 2 a 1 sobre Fluminense, no último sábado"
"Felipe Jonatan fala de força defensiva do Santos e brinca com gol: ""Mini lençol aleatório""","Lateral fez o terceiro na vitória sobre o Avaí, no último domingo, pelo Brasileirão; jogador é o convidado do Seleção SporTV desta segunda-feira"
"Sem lesão, Sornoza será reforço no Corinthians diante do Montevideo Wanderers","Equatoriano foi desfalque na vitória por 3 a 1 diante do Fortaleza, no Castelão"
Laureano Staropoli e Taila Santos sofrem lesões e são cortados do card do UFC Montevidéu,"Lutador da Chute Boxe, de São Paulo, e atleta da Astra Fight Team, de Santa Catarina, estavam escalados para atuarem na primeira edição do Ultimate no Uruguai, em 10 de agosto"
Team Liquid e Brasil: os exemplos da conexão vitoriosa entre o país e a organização americana,Cavalos colecionam títulos e fama nos eSports guiados por jogadores e técnicos brasileiros
Cristiano Ronaldo ganha prêmio em Madri e reencontra Florentino Pérez,"Craque português recebe troféu Marca Legends e entra para Hall de lendas que conta com Pelé, Maradona, Messi, Michael Jordan, Roger Federer e Usain Bolt"
FIFA 19: Richarlison comemora carta FUTTIES de nota 92 e vira um dos melhores atacantes do Brasil,"Jogador do Everton vence disputa popular da categoria Cinco Estrelas de Perna Ruim e recebe card com atributos melhorados, se tornando um dos melhores homens de frente do país no jogo"
"Léo Duarte vai ao CT se despedir de companheiros no Flamengo, e viaja para Milão nos próximos dias ","Transação foi fechada no fim da semana, e zagueiro de 22 anos vai render R$ 30 milhões por 70% dos direitos econômicos ao Rubro-Negro. Jorge Jesus fez aposta em coletiva: ""Vai dar certo"""
"Recuperada de lesão, Ingrid Oliveira chega a Lima para os Jogos Pan-Americanos","Depois de realizar tratamento para curar um edema ósseo no punho esquerdo, saltadora de 23 anos foi retirada do Mundial de Esportes Aquáticos da Coreia do Sul por precaução"
"UFC acerta com Rodrigo Kazula, que vai substituir Fiziev na luta contra Alex Leko em Montevidéu",Integrante da academia Mexican Pride soma dez vitórias e duas derrotas na carreira
Que fase! Real Madrid confirma lesão no tornozelo do goleiro Courtois,"Além do belga, que não tem previsão para voltar aos gramados, Mendy, Brahim Díaz, Jovic e Asensio também estão no departamento médico"
"Dana sugere que Cris Cyborg quer ""lutas mais fáceis""; brasileira reclama de ""bullying"" do dirigente",Presidente do UFC acha que ex-campeã está em fim de carreira e por isso quer deixar companhia. Lutadora diz que sua filha brigou na escola por causa de coisas ditas sobre ela
Redação SporTV enaltece trabalho de Sampaoli no líder Santos: ''É o técnico camisa 10'',Argentino levou o Peixe à sexta vitória seguida no Campeonato Brasileiro no último domingo
Flamengo x Emelec: ingressos esgotados para o duelo de volta no Maracanã pela Libertadores,Flamengo precisa vencer por três gols para se classificar às quartas de final da Libertadores
Isaquias Queiroz fatura o ouro no C1 1000m no Pan de Lima 2019 e repete título de Toronto,"Depois de levar a medalha de ouro no Canadá há quatro anos, brasileiro vence a mesma prova no Peru. Vagner Souta fica com o bronze no K1 1000m, assim como Ana Paula Vergutz no K1 1500m"
Wakanda em festa! Patrick ganha parabéns de funcionários do Inter com máscaras do Pantera Negra ,"Titular do time, meio-campista colorado completa 27 anos nesta segunda-feira "
Dana abre portas para Conor McGregor substituir Khabib ou Dustin Poirier no UFC 242,"Presidente do UFC revela que irlandês vem se mantendo em forma e que, em caso de lesão de um dos dois campeões do peso-leve da organização, ele poderia ser o substituto imediato"
Peñarol tem dois desfalques para o jogo de volta contra o Fluminense pela Sul-Americana,"Gastón Rodriguez e Guzmán Pereira, titulares em Montevidéu, estão fora por lesão. Quatro jogadores poupados no Campeonato Uruguaio voltam"
Tirando onda, &lt; Veja todos os posts 
Lukaku não é relacionado para amistoso e fica mais perto de deixar o Manchester United,Atacante belga está na mira dos rivais italianos Juventus e Internazionale
"Análise: Rafinha cobre “buraco”, mas Flamengo sofre para criar e tira lição para enfrentar o Emelec","Lateral faz a diferença em atuação impositiva do Rubro-Negro pela técnica, mas que expõe necessidade de meias lesionados para decisão pelas oitavas de final da Libertadores"
"Ao lado de Militão e Casemiro, meia James Rodríguez volta a treinar no Real Madrid","Futuro do colombiano ainda é incerto, mas existe a possibilidade de permanência no clube"
