title,subtitle
Diogo inferniza Marcos e Nana: 'Vocês estão nas minhas mãos',"O advogado revela que detém os direitos do livro de Eric Feitosa e esculacha os irmãos na editora nesta terça-feira, 31/12, em ‘Bom Sucesso’"
Carla Diaz volta à Argentina 20 anos depois: 'É muito louco ser reconhecida fora do meu país',"Atriz, que morou em San Isidro, visita lugares que marcaram sua infância e conta por que escolheu Buenos Aires para passar a virada de ano: 'Bateu vontade de viver essa nostalgia'"
Justina tem crise nervosa e se recusa a ir embora com Emília: 'Você não é minha mãe!',A menina se apavora com a possibilidade de deixar Olga e Zeca e voltar para São Paulo ao lado de sua mãe em 'Éramos Seis'
Previsões para o trabalho em 2020,Confira o que o seu Ascendente diz sobre sua área profissional no novo ano 
Vera quer ter uma noite especial com Alberto,"Os dois ficam no maior clima e acabam se beijando após convite dela nesta segunda-feira, 30/12, em ‘Bom Sucesso’"
"‘Eu, a Vó e a Boi’: diretor artístico Paulo Silvestrini celebra parceria inédita com Miguel Falabella","Série do Globoplay é inspirada em uma história real de inimizade entre duas vizinhas, protagonizadas por Vera Holtz e Arlete Salles"
"Rafael Vitti diz que não tem ritual durante Réveillon, mas revela: 'Tatá é mais supersticiosa'",O ator conta que vai aproveitar o Ano Novo para curtir Clara Maria: 'Vamos celebrar a vida da nossa filha'
Emília busca Justina e fica horrorizada ao reencontrar a filha,A tia de Lola decide ir até Itapetininga buscar a irmã de Adelaide e acaba tomando um susto enorme em 'Éramos Seis'
Diogo chega na editora e faz revelação que deixa todos em choque,"O vilão anuncia que tem uma reunião com Nana e Marcos no capítulo de ‘Bom Sucesso’ desta segunda-feira, 30/12"
Look para o Ano Novo: sobreposição e transparência são apostas para a ocasião,Veja dicas de moda do @PraVcArrasar e inspire-se em um visual estiloso e confortável para a virada de ano!
Sandro e Raul brigam no trânsito e encontro entre pai e filho termina em socos,"Confira o que vai acontecer no próximo capítulo da novela das 9, 'Amor de Mãe'"
Vitória revela para Raul que Sandro é o filho que eles tiveram no passado,E mais: Vicente é assassinado; ouça o podcast Novela das 9 e descubra tudo o que vai rolar na semana de ‘Amor de Mãe’
7 atores de ‘Bom Sucesso’ revelam suas tradições de Réveillon ,"Adeus, 2019. Bem-vindo, 2020! E para que esse novo ano seja especial, algumas pessoas fazem superstições, escolhem a cor da virada ou mantém sempre alguma mania. Quer saber como funciona com o elenco da trama das 7? Dá só uma conferida!"
Gilberto Gil revela tradições de ano novo da família nos bastidores do 'Domingão',"O músico participou do 'Ding Dong' especial de fim de ano, que homenageou grandes artistas brasileiros"
"'Ding Dong' especial tem Ivete Sangalo, Lulu Santos, Milton Nascimento, Gilberto Gil e Simone",Ana Paula Araújo e Andréia Sadi disputaram o quadro contra Renata Ceribelli e Ana Furtado. Público se emociona com Milton e classifica como rara sua aparição na telinha
"Marcello Melo Jr. planeja Réveillon em Noronha: 'A gente trabalha bastante, mas gosta de se divertir!'","O ator pretende passar a virada do ano com amigos, mas depende dos roteiros de 'Bom Sucesso' para confirmar a viagem. Nos bastidores do 'Domingão', Marcello ainda falou sobre a nova carreira como DJ "
Resumo da semana: reveja os melhores momentos de 'Bom Sucesso',"Nos capítulos de 23 a 28 de dezembro, o pai de Gabriela doou o sangue para filha, fugiu com a grana e foi assassinado pela mulher. Mario rompeu com Silvana e correu para Nana e Diogo reapareceu rico!"
