title,subtitle
Maioria do Supremo apoia criação de juiz de garantias,"
	A maioria dos ministros do Supremo Tribunal Federal (STF) apoia a criação do juiz de garantias, prevista na lei anticrime sancionada pelo presidente Jair Bolsonaro no dia 25. Seis integrantes da Corte ouvidos pelo Estado indicaram ver com bons olhos a divisão entre dois juízes na condução e no julgamento dos processos. Entenda o que é um juiz de garantias.
"
Olavo: Governo jamais terá vontade ou coragem de me proteger,"
	O escritor, influenciador e ""guru"" bolsonarista Olavo de Carvalho disse nesta segunda, 30, que o governo de Jair Bolsonaro e seus apoiadores não fazem ideia de como ""desarmar inimigos"" e reclamou de ataques que alega estar sofrendo.
"
Congresso altera quase 30% dos vetos de Bolsonaro,"
	BRASÍLIA - Em 2019, o Congresso alterou vetos do presidente Jair Bolsonaro em quase 30% dos projetos barrados total ou parcialmente pelo chefe do Executivo. Se esse ritmo se mantiver, o volume de derrotas do Executivo no Legislativo caminha para um recorde. Em números absolutos, em seu primeiro ano de mandato, Bolsonaro já supera a quantidade de vetos alterados nos governos de Fernando Henrique Cardoso, Luiz Inácio Lula da Silva e Dilma Rousseff somados, segundo dados levantados pelo Estadão/Broadcast.
"
"Partes de ""barco fantasma"" com 5 corpos são achados no Japão","
	Cinco cadáveres e duas cabeças humanas foram encontradas em um naufrágio na costa do Japão.
"
Volkswagen Fox e Up! devem sair de linha em 2020,"
	Redução de gama, fim de versões e linha enxuta nunca são bons sinais para um modelo. Ainda mais quando um ""irmão"" de chão de fábrica com preço similar vai muito bem, como é o caso do Polo. Resultado: Fox e Up! podem sair de linha já em 2020. Pelo menos foi isso que algumas concessionárias ouvidas pelo site Motor1 relataram.
"
Vale-refeição de juízes pode chegar a quase R$ 5 mil,"
	BRASÍLIA - Juízes de 24 Estados recebem por mês mais de R$ 1 mil de vale-refeição. Em Pernambuco, o valor chega a R$ 4.787 - o equivalente a 4,8 vezes o salário mínimo em vigor (R$ 998) e mais que o dobro da renda média mensal dos trabalhadores brasileiros, que é de R$ 2.317 mensais.
"
"""Bolsonaro não terminará o mandato"", aposta Ciro Gomes","
	Em entrevista à DW, Ciro Gomes afirma que Bolsonaro lidera uma ""equipe de idiotas"" e que não conseguirá terminar o mandato. Para ele, Congresso vem tendo papel importante de contenção perante presidente ""irresponsável"".
"
"""Com religião se brinca sim"", diz Porchat após ataque","
Fabio Porchat comentou sobre o ataque com coquetéis molotov à sede do Porta dos Fundos, que ocorreu na madrugada do dia 24, véspera de Natal, em um artigo publicado no jornal O Globo nesta segunda-feira, 30. No texto, o humorista afirma que ""com religião se brinca sim"" e defende a liberdade de expressão, bem como o direito das pessoas de se sentirem ofendidas com alguma piada, desde que não vá contra a lei.
"
PM é ferido em tiroteio em ação contra incêndio na Rocinha,"
	RIO - Um policial militar ficou ferido na manhã deste domingo, 22, em meio a um tiroteio na favela da Rocinha, na zona sul do Rio. O agente acompanhava o trabalho de bombeiros que tentavam controlar um incêndio.
"
Papa pede que famílias evitem usar celular durante refeições,"
	O papa Francisco chamou à atenção das famílias que utilizam celulares durante as refeições e, neste domingo (29), fez um apelo para que as pessoas conversem mais umas com as outras. No tradicional Ângelus, na praça São Pedro, no Vaticano, o Pontífice citou Jesus, Maria e José como um exemplo que todas as famílias devem seguir, porque eles ""rezavam, trabalhavam e se comunicavam entre si"".
"
"Lula processa dono da Havan após ser chamado de ""cachaceiro""","
	O ex-presidente Luiz Inácio Lula da Silva entrou com uma ação na Justiça contra o dono das lojas Havan, Luciano Hang, por calúnia e difamação. O empresário afirmou que patrocinaria aviões para sobrevoar praias de Santa Catarina levando faixas com dizeres contra o petista — no sábado (28) Hang publicou um vídeo em que uma aeronave mostra a frase ""Lula cachaceiro devolve meu dinheiro"". A defesa de Lula pede a proibição das mensagens contra o ex-presidente e o pagamento de indenização de R$ 100 mil por danos morais.
"
Mais 2 vítimas da barragem em Brumadinho são identificadas,"
	RIO - A Polícia Civil informou neste sábado, 28, que identificou mais duas vítimas do rompimento da barragem da Vale na região de Brumadinho, em Minas Gerais. O total de mortos na tragédia subiu para 259. Outras 11 pessoas continuam desaparecidas em decorrência do colapso da barragem da mina do Córrego do Feijão, em 25 de janeiro deste ano.
"
Inter pede R$ 90 milhões e torcida do Flamengo faz campanha,"
	A maior indefinição do Flamengo para 2020 atende por Gabriel Barbosa. E, neste sábado, o jornal Gazzetta dello Sport atualizou o cenário do lado italiano: a Inter de Milão pede, no mínimo, 20 milhões de euros (cerca de R$ 90 milhões) para negociá-lo em definitivo com o clube carioca.

	Já com a operação financeira finalizada, a proposta do Flamengo, de acordo com a apuração do LANCE!, é de 16 milhões de euros (aproximadamente R$ 72 milhões). Ou seja: o negócio ainda terá mais capítulos e só tende a ser concluído, independente do desfecho, nos primeiros dias de janeiro.

	Em Doha, durante a disputa do Mundial de Clubes, ocorreu a mais recente reunião entre as partes. Mas o desejo de Gabigol, ainda não externado, pode pesar e, inclusive, tornar a Inter mais flexível quanto à pedida pelo camisa 9, que está emprestado somente até o fim deste mês.

CAMPANHA NO TWITTER

	Agitada com novas informações a respeito do goleador do Campeonato Brasileiro e da Libertadores, a torcida do Flamengo promoveu novamente a campanha #FicaGabigol no Twitter. Até o fim da tarde deste sábado, a hashtag estava entre os cinco assuntos mais comentados do Brasil.

	A ver se o apelo dos torcedores, que já entoam o pedido pelo ""fico"" nas arquibancadas desde a reta final da temporada, surtirá efeito.

	Confira tuítes da campanha:
"
"Os ex-superaliados que terminam 2019 como ""desafetos"" de Bolsonaro","
	O presidente Jair Bolsonaro terminará o ano com uma longa lista de ex-super-aliados: pessoas que foram importantes no início do mandato, mas hoje estão afastadas ou rompidas politicamente com o Planalto.
"
"Não teria perdido meu tempo com Trump, diz Greta Thunberg","
	A ativista adolescente do clima Greta Thunberg disse nesta segunda-feira que conversar com o presidente dos Estados Unidos, Donald Trump, em uma cúpula da Organização das Nações Unidas (ONU) sobre o aquecimento global teria sido uma perda de tempo, já que ele não teria lhe dado nenhuma atenção.
"
Tatá posa de mãos dadas com marido e cunhado em shopping,"
Tatá Werneck e Rafael Vitti aproveitaram um ""vale-night"" que ganharam da pequena Clara Maria para reencontrar os amigos em um shopping da zona oeste do Rio de Janeiro, na noite de sexta-feira (27). Para passeio casual, a humorista apareceu bem à vontade - de macacão longo vermelho e chinelo slider - e se divertiu ao notar a presença dos fotógrafo dando as mãos ao marido e o cunhado, Francisco Vitti.
"
"""Bloquear fake news com a Justiça é fantasia"", diz Barroso","
	O vice-presidente do Tribunal Superior Eleitoral (TSE), ministro Luís Roberto Barroso, disse ao Estado que há risco de imposição de censura quando se tenta combater a disseminação das chamadas ""fake news"" com medidas judiciais. Para ele, não há meios materiais nem recursos humanos que consigam enfrentar o problema ""na velocidade necessária"".
"
Gloria Perez posta vídeo de Daniella e relembra assassinato,"
	Gloria Perez usou as redes sociais neste sábado, 28, para lembrar do assassinato da filha, Daniella Perez, há 27 anos.
"
Maior informalidade afeta contribuições para a Previdência,"
	O elevado nível de informalidade no mercado de trabalho tem impedido melhora mais consistente no poder de compra das famílias brasileiras, além de prejudicar a contribuição dos trabalhadores para a Previdência Social. A avaliação é de Adriana Beringuy, analista da Coordenação de Trabalho e Rendimento do Instituto Brasileiro de Geografia e Estatística (IBGE).
"
Polícia suspeita que prefeito foi morto em crime encomendado,"
	A Polícia Civil trabalha com hipótese de que o asssassinato do prefeito de Ribeirão Bonito, Francisco José Campaner (PSDB), de 57 anos, morto a tiros na tarde de quinta, na zona rural do município do interior de São Paulo, foi um crime encomendado.
"
Mergulhador tailandês morre mais de um ano após resgate,"
	Um mergulhador da força de elite da Marinha da Tailândia que participou do resgate dramático de 12 meninos e seu técnico de futebol em uma caverna inundada do norte do país no ano passado morreu em razão de uma infecção sanguínea que contraiu durante a operação, informou nesta sexta-feira, 27, a Real Marinha Tailandesa.
"
"Contas do governo têm rombo de R$ 16,5 bilhões em novembro","
	O caixa do governo central registrou um déficit primário de R$ 16,5 bilhões em novembro, o melhor desempenho para o mês desde 2017, considerada a inflação do período. Em números correntes, o resultado é o pior desde novembro de 2016.
"
