title,subtitle,
Congresso altera quase 30% dos vetos de Bolsonaro,"<p class=""text"">
	BRASÍLIA - Em 2019, o Congresso alterou vetos do presidente Jair Bolsonaro em quase 30% dos projetos barrados total ou parcialmente pelo chefe do Executivo. Se esse ritmo se mantiver, o volume de derrotas do Executivo no Legislativo caminha para um recorde. Em números absolutos, em seu primeiro ano de mandato, Bolsonaro já supera a quantidade de vetos alterados nos governos de Fernando Henrique Cardoso, Luiz Inácio Lula da Silva e Dilma Rousseff somados, segundo dados levantados pelo <em>Estadão/Broadcast</em>.
</p>",
Volkswagen Fox e Up! devem sair de linha em 2020,"<p class=""text"">
	Redução de gama, fim de versões e linha enxuta nunca são bons sinais para um modelo. Ainda mais quando um ""irmão"" de chão de fábrica com preço similar vai muito bem, como é o caso do Polo. Resultado: Fox e Up! podem sair de linha já em 2020. Pelo menos foi isso que algumas concessionárias ouvidas pelo site Motor1 relataram.
</p>",
Vale-refeição de juízes pode chegar a quase R$ 5 mil,"<p class=""text"">
	BRASÍLIA - Juízes de 24 Estados recebem por mês mais de R$ 1 mil de vale-refeição. Em Pernambuco, o valor chega a R$ 4.787 - o equivalente a 4,8 vezes o salário mínimo em vigor (R$ 998) e mais que o dobro da renda média mensal dos trabalhadores brasileiros, que é de R$ 2.317 mensais.
</p>",
"Partes de ""barco fantasma"" com 5 corpos são achados no Japão","<p class=""text"">
	Cinco cadáveres e duas cabeças humanas foram encontradas em um naufrágio na costa do Japão.
</p>",
"Lula processa dono da Havan após ser chamado de ""cachaceiro""","<p class=""text"">
	O ex-presidente<strong> Luiz Inácio Lula da Silva</strong> entrou com uma ação na Justiça contra o dono das lojas <strong>Havan</strong>, <strong>Luciano Hang</strong>, por calúnia e difamação. O empresário afirmou que patrocinaria aviões para sobrevoar praias de Santa Catarina levando faixas com dizeres contra o petista — no sábado (28) Hang publicou um vídeo em que uma aeronave mostra a frase ""<strong>Lula cachaceiro devolve meu dinheiro</strong>"". A defesa de Lula pede a proibição das mensagens contra o ex-presidente e o pagamento de indenização de R$ 100 mil por danos morais.
</p>",
Maioria do Supremo apoia criação de juiz de garantias,"<p class=""text"">
	A maioria dos ministros do Supremo Tribunal Federal (<strong>STF</strong>) apoia a criação do juiz de garantias, prevista na lei anticrime sancionada pelo presidente Jair Bolsonaro no dia 25. Seis integrantes da Corte ouvidos pelo <strong><em>Estado </em></strong>indicaram ver com bons olhos a divisão entre dois juízes na condução e no julgamento dos processos. Entenda o que é um <strong>juiz de garantias</strong>.
</p>",
Olavo: Governo jamais terá vontade ou coragem de me proteger,"<p class=""text"">
	O escritor, influenciador e ""guru"" bolsonarista <strong>Olavo de Carvalho </strong>disse nesta segunda, 30, que o governo de <strong>Jair Bolsonaro</strong> e seus apoiadores não fazem ideia de como ""desarmar inimigos"" e reclamou de ataques que alega estar sofrendo.
</p>",
PM é ferido em tiroteio em ação contra incêndio na Rocinha,"<p class=""text"">
	RIO - Um policial militar ficou ferido na manhã deste domingo, 22, em meio a um tiroteio na favela da Rocinha, na zona sul do Rio. O agente acompanhava o trabalho de bombeiros que tentavam controlar um incêndio.
</p>",
Bolsonaro gastou R$ 8 milhões com viagens em 2019,"<p class=""text"">
	A Presidência da República gastou <strong>R$ 8 milhões</strong> em quase um ano do governo Jair <strong>Bolsonaro</strong>, apontam dados obtidos pelo jornal <em>O Estado de S. Paulo </em>via Lei de Acesso à Informação (LAI). As despesas englobam viagens do presidente e de servidores em apoio ao Planalto para dentro e fora do País. Somente a última viagem internacional ao Sudoeste Asiático e Oriente Médio gerou, sozinha, uma despesa de R$ 1 milhão aos cofres públicos.
</p>",
,,
"Não teria perdido meu tempo com Trump, diz Greta Thunberg","<p class=""text"">
	A ativista adolescente do clima<strong> Greta Thunberg</strong> disse nesta segunda-feira que conversar com o presidente dos<strong> Estados Unidos</strong>, <strong>Donald Trump</strong>, em uma cúpula da<strong> Organização das Nações Unidas </strong>(ONU) sobre o aquecimento global teria sido uma perda de tempo, já que ele não teria lhe dado nenhuma atenção.
</p>",
,,
,,
"""Com religião se brinca sim"", diz Porchat após ataque","<p class=""text"">
<strong>Fabio Porchat </strong>comentou sobre o ataque com coquetéis molotov à sede do <strong>Porta dos Fundos</strong>, que ocorreu na madrugada do dia 24, véspera de <strong>Natal</strong>, em um artigo publicado no jornal <em>O Globo</em> nesta segunda-feira, 30. No texto, o humorista afirma que ""com religião se brinca sim"" e defende a liberdade de expressão, bem como o direito das pessoas de se sentirem ofendidas com alguma piada, desde que não vá contra a lei.
</p>",
"Os ex-superaliados que terminam 2019 como ""desafetos"" de Bolsonaro","<p class=""text"">
	O presidente Jair Bolsonaro terminará o ano com uma longa lista de ex-super-aliados: pessoas que foram importantes no início do mandato, mas hoje estão afastadas ou rompidas politicamente com o Planalto.
</p>",
,"<p class=""text"">
	A ex-ministra da Secretária Especial de Políticas para as Mulheres dos governos Lula <strong>Nilcea Freire</strong> morreu neste sábado, 28, aos 66 anos, no Rio de Janeiro.
</p>",
Tatá posa de mãos dadas com marido e cunhado em shopping,"<p class=""text"">
<strong>Tatá Werneck</strong> e<strong> Rafael Vitti </strong>aproveitaram um ""vale-night"" que ganharam da pequena <strong>Clara Maria</strong> para reencontrar os amigos em um shopping da zona oeste do Rio de Janeiro, na noite de sexta-feira (27). Para passeio casual, a humorista apareceu bem à vontade - de macacão longo vermelho e chinelo slider - e se divertiu ao notar a presença dos fotógrafo dando as mãos ao marido e o cunhado, Francisco Vitti.
</p>",
Inter pede R$ 90 milhões e torcida do Flamengo faz campanha,"<p class=""text"">
	A maior indefinição do <strong>Flamengo </strong>para 2020 atende por <strong>Gabriel Barbosa</strong>. E, neste sábado, o jornal Gazzetta dello Sport atualizou o cenário do lado italiano: a Inter de Milão pede, no mínimo, 20 milhões de euros (cerca de R$ 90 milhões) para negociá-lo em definitivo com o clube carioca.<br>
<br>
	Já com a operação financeira finalizada, a proposta do Flamengo, de acordo com a apuração do <b>LANCE!</b>, é de 16 milhões de euros (aproximadamente R$ 72 milhões). Ou seja: o negócio ainda terá mais capítulos e só tende a ser concluído, independente do desfecho, nos primeiros dias de janeiro.<br>
<br>
	Em Doha, durante a disputa do Mundial de Clubes, ocorreu a mais recente reunião entre as partes. Mas o desejo de Gabigol, ainda não externado, pode pesar e, inclusive, tornar a Inter mais flexível quanto à pedida pelo camisa 9, que está emprestado somente até o fim deste mês.<br>
<br>
<b>CAMPANHA NO TWITTER</b><br>
<br>
	Agitada com novas informações a respeito do goleador do Campeonato Brasileiro e da Libertadores, a torcida do Flamengo promoveu novamente a campanha #FicaGabigol no Twitter. Até o fim da tarde deste sábado, a hashtag estava entre os cinco assuntos mais comentados do Brasil.<br>
<br>
	A ver se o apelo dos torcedores, que já entoam o pedido pelo ""fico"" nas arquibancadas desde a reta final da temporada, surtirá efeito.<br>
<br>
	Confira tuítes da campanha:
</p>",
Mais 2 vítimas da barragem em Brumadinho são identificadas,"<p class=""text"">
	RIO - A Polícia Civil informou neste sábado, 28, que identificou mais duas vítimas do rompimento da barragem da Vale na região de <strong>Brumadinho</strong>, em <strong>Minas Gerais</strong>. O total de mortos na tragédia subiu para 259. Outras 11 pessoas continuam desaparecidas em decorrência do colapso da barragem da mina do Córrego do Feijão, em 25 de janeiro deste ano.
</p>",
Gloria Perez posta vídeo de Daniella e relembra assassinato,"<p class=""text"">
	Gloria Perez usou as redes sociais neste sábado, 28, para lembrar do assassinato da filha, Daniella Perez, há 27 anos.
</p>",
"""Bolsonaro não terminará o mandato"", aposta Ciro Gomes","<p class=""text"">
	Em entrevista à <em>DW</em>, <strong>Ciro Gomes</strong> afirma que <strong>Bolsonaro </strong>lidera uma ""equipe de idiotas"" e que não conseguirá terminar o mandato. Para ele, Congresso vem tendo papel importante de contenção perante presidente ""irresponsável"".
</p>",
Papa pede que famílias evitem usar celular durante refeições,"<p class=""text"">
	O <strong>papa Francisco</strong> chamou à atenção das famílias que utilizam celulares durante as refeições e, neste domingo (29), fez um apelo para que as pessoas conversem mais umas com as outras. No tradicional Ângelus, na praça São Pedro, no Vaticano, o Pontífice citou Jesus, Maria e José como um exemplo que todas as famílias devem seguir, porque eles ""rezavam, trabalhavam e se comunicavam entre si"".
</p>",
