title,subtitle
"Bolsonaro decide se fará desfile em carro aberto, diz GSI","A decisão sobre o desfile no carro Rolls-Royce aberto, como tradicionalmente ocorre na posse presidencial, será tomada apenas no dia 1º de janeiro pelo presidente da República eleito, Jair Bolsonaro, segundo informações do Gabinete de Segurança Institucional (GSI)."
Parlamentares 'aliados' criticam Bolsonaro sobre Israel,"A intenção do presidente eleito, Jair Bolsonaro, de mudar a embaixada do Brasil em Israel de Tel-Aviv para Jerusalém gerou críticas entre parlamentares de partidos ligados ao novo governo. Pelas redes sociais, políticos disseram que a medida pode trazer efeitos econômicos negativos para o País e fazer com que o Brasil se torne alvo de terrorismo. A mudança, por outro lado, foi apoiada por defensores de Bolsonaro, como o senador Magno Malta (PR-ES)."
"Para evitar gastos, Zema cancela ida à posse de Bolsonaro","O governador eleito de Minas Gerais, Romeu Zema (Novo), desistiu de participar da posse de Jair Bolsonaro nesta terça-feira, 1º. O motivo alegado pela assessoria de Zema é a falta de um voo de carreira que faça a tempo o percurso entre Belo Horizonte, onde ele toma posse pela manhã, e Brasília, onde a cerimônia deve começar às 15h."
"Battisti pode se asilar em embaixada, diz mãe de seu filho","A mãe do filho caçula de Cesare Battisti, Priscila Luana Pereira, afirmou que o italiano, foragido desde que o ministro do Supremo Tribunal Federal (STF) Luiz Fux determinou sua prisão no último dia 13 de dezembro, já pensava em pedir asilo político em alguma embaixada. Em entrevista exclusiva ao jornal ""Folha de S.Paulo"" publicada neste domingo (30), a professora de 33 anos relatou ter encontrado seu ex-companheiro pela última vez em outubro, em Cananeia, no litoral paulista, onde Battisti vivia."
Homens laçam e matam sucuri de 6 metros no interior de SP,"Uma sucuri adulta medindo cerca de seis metros foi laçada e morta por um grupo de pessoas, na última sexta-feira, 28, no distrito de Bueno de Andrada, em Araraquara, interior de São Paulo. O réptil havia sido filmado por um ciclista, no interior de um córrego, no assentamento Monte Alegre, um dia antes de ser capturado. Os homens filmaram a caçada e divulgaram o vídeo em redes sociais. Com base nas imagens, a Polícia Militar Ambiental apura crimes previstos na legislação ambiental."
Mercúrio será proibido em termômetro e medidor de pressão,"A partir de 1º de janeiro de 2019, fica proibida em todo o País a fabricação, a importação e a comercialização de termômetros e de esfigmomanômetros (aparelhos para verificar a pressão arterial) que utilizam coluna de mercúrio para diagnóstico em saúde. A medida, publicada no Diário Oficial da União em março de 2017, também inclui a proibição do uso desses equipamentos em serviços de saúde, que deverão fazer o descarte adequado."
Temer desiste de editar decreto do indulto de Natal,"O presidente Michel Temer desistiu de editar neste ano o decreto do indulto de Natal, que concede perdão a presos condenados a determinados crimes não violentos. A decisão ocorre após o Supremo Tribunal Federal (STF) encerrar o ano sem finalizar o julgamento sobre a validade do indulto natalino assinado por ele no ano passado. As regras do ano passado foram suspensas após o presidente reduzir as restrições e incluir condenados por corrupção entre os beneficiados."
Réveillon alemão: Fogos fazem vítimas e poluição é recorde,"O costume de soltar bombas e rojões durante o Réveillon já causa as primeiras vítimas na Alemanha. Acidentes graves foram registrados neste fim de semana, ainda às vésperas da passagem de ano, segundo reportagens divulgadas neste domingo (30/12) pela mídia alemã."
Juíza libera a Dilma acesso ao inquérito-mãe da Lava Jato,"A juíza federal Gabriela Hardt liberou à ex-presidente Dilma Rousseff acesso ao inquérito-mãe da Operação Lava Jato. O procedimento deu origem à investigação, em Curitiba, que teve sua primeira fase deflagrada em 14 de março de 2014."
Pastor que orava por Dilma realiza culto para Bolsonaro,"BRASÍLIA - O pastor Wilbert Batista costumava andar de bicicleta perto da ex-presidente Dilma Rousseff, em Brasília, e dizia que orava por ela. Conseguiu a confiança dos seguranças para se aproximar algumas vezes, embora deixasse claro que não votou na ex-presidente. ""Existe um trecho na bíblia que diz que a gente tem que orar pelas autoridades. Sempre fazemos isso"", justifica Batista, que acompanhou todas as posses presidenciais desde a época de Fernando Collor."
