Title,Subtitle
a hora extra vai acabar? vou trabalhar aos domingos? tire dúvidas sobre a ‘minirreforma trabalhista’," a câmara dos deputados aprovou na noite desta terça-feira (13) a medida provisória (mp) 881, apelidada de ""mp da liberdade econômica"". enviada pelo governo ao congresso em maio, o texto limita o poder de regulação do estado, cria direitos e garantias para a atividade econômica e regula a atuação do fisco. mas também alterou algumas regras trabalhistas - e por isso, políticos de oposição passaram a chamar a proposta de ""minirreforma trabalhista"". "
6 dicas da ciência que ajudam a melhorar o desempenho na corrida," antes de correr, há quem se alongue antes da atividade, depois dela ou em ambos - ou em nenhum momento. há quem prefira se hidratar mais, menos, ou quem recorra a suplementos energéticos para impulsionar a prática."
como a vida moderna aumentou o estresse - e como podemos evitá-lo," em novembro de 2017, dois cirurgiões oftalmológicos de um hospital em beirute, capital do líbano, relataram um caso intrigante de um problema de visão sofrido por um colega. especialista em retina, ele de repente desenvolveu uma mancha na vista. "
"como manifestantes de hong kong usam tinder, uber e pokémon go para organizar protestos e fugir da polícia"," no final de julho, manifestantes em hong kong que voltavam de um protesto foram atacados por um grupo de homens vestindo camisas brancas. logo depois, anúncios anônimos apareceram na internet pedindo que as pessoas saíssem em massa para caçar pokémons em uma cidade onde os suspeitos haviam se reunido uma semana antes."
"matteo salvini, o 'amigo' de bolsonaro que pode estar próximo de comandar a itália","matteo salvini, ministro do interior, vice-primeiro-ministro e líder do partido italiano a liga, se manifestou a favor de eleições antecipadas no país. sua justificativa: lidar com as diferenças entre siglas aliadas se tornou inviável. "
o desenho secreto encontrado sob uma das obras-primas de leonardo da vinci ,uma análise em uma das obras mais famosas de leonardo da vinci revelou detalhes de uma composição escondida sob a pintura.
"a vida em el morro, ‘bolha’ de casas de luxo e iates que sobrevive à crise na venezuela","ele foi projetado para se parecer com veneza, embora lembre mais as ilhas privadas de miami onde moram muitos famosos."
o jovem que seduzia idosos para ficar com suas heranças e acabou cometendo um assassinato,"sentado no banco de trás do carro de polícia, o jovem inglês ben field dizia: ""acho que vou conseguir sair impune de grande parte do que fiz"". ele havia seduzido dois vizinhos solitários na inglaterra — assassinando um e praticando fraude com a outra — e agora encara prisão perpétua."
'nossas mentes estão programadas para ter prazer com o sofrimento dos outros': psicóloga explica a lógica dos assassinos e criminosos,"quando falamos sobre assassinos, é comum usarmos as palavras ""monstros"" ou ""perversos"" para qualificá-los, como se eles fossem seres de outra espécie, absolutamente diferentes de nós. no entanto, todos somos capazes de matar, segundo julia shaw, uma psicóloga criminal alemã que vive em londres e que passou anos explorando os cantos mais sombrios da mente humana."
"o agente congolês na cracolândia, a boliviana no sus, o angolano no 'rapa' e outras histórias de recomeço no brasil"," a médica boliviana lourdes ojeda procurava um emprego no brasil. o angolano antonio coteo queria terminar a faculdade. promessa do futebol boliviano, jorge lopez decidiu morar em são paulo após encerrar sua carreira nos gramados. já o congolês kanga heroult tinha só a roupa do corpo ao desembarcar, pois havia acabado de sobreviver a um fuzilamento."
"há 95 anos, bombas caíam sobre são paulo e arrasavam a cidade"," casas e prédios destruídos, explosões de bombas, soldados armados de metralhadoras, população assustada fugindo pelas ruas, locomotivas arrancadas dos trilhos, tanques de guerra cruzando a cidade e trincheiras abertas nas ruas. quem contempla as fotografias antigas acredita que são cenas de uma cidade europeia durante a primeira guerra mundial. "
"democracia não funciona quando há pessoas passando fome, diz pesquisadora alemã","é errado culpar a popularidade das redes sociais por fenômenos que parecem enfraquecer a democracia atual, como a polarização do debate eleitoral, a propagação de notícias falsas durante as campanhas e os ataques virtuais a adversários políticos. mesmo antes da digitalização, os modelos tradicionais de democracia e política já tinham seu futuro ameaçado pela própria decepção do eleitorado com seus representantes. "
"perda de intimidade com o sonho causa grande prejuízo à humanidade, diz neurocientista","ao se mudar para nova york para cursar seu doutorado, no fim dos anos 1990, o neurocientista brasileiro sidarta ribeiro pretendia pesquisar a comunicação vocal entre aves. mas uma experiência pessoal fez com que ele mudasse o foco dos estudos para um campo tão complexo quanto intrigante: os sonhos."
