title,subtitle
partículas de plástico caem do céu com a neve no ártico,"micropartículas de plástico estão caindo do céu com a neve - inclusive, no ártico."
maioria do supremo apoia criação de juiz de garantias,"
	a maioria dos ministros do supremo tribunal federal (stf) apoia a criação do juiz de garantias, prevista na lei anticrime sancionada pelo presidente jair bolsonaro no dia 25. seis integrantes da corte ouvidos pelo estado indicaram ver com bons olhos a divisão entre dois juízes na condução e no julgamento dos processos. entenda o que é um juiz de garantias.
"
congresso altera quase 30% dos vetos de bolsonaro,"
	brasília - em 2019, o congresso alterou vetos do presidente jair bolsonaro em quase 30% dos projetos barrados total ou parcialmente pelo chefe do executivo. se esse ritmo se mantiver, o volume de derrotas do executivo no legislativo caminha para um recorde. em números absolutos, em seu primeiro ano de mandato, bolsonaro já supera a quantidade de vetos alterados nos governos de fernando henrique cardoso, luiz inácio lula da silva e dilma rousseff somados, segundo dados levantados pelo estadão/broadcast.
"
volkswagen fox e up! devem sair de linha em 2020,"
	redução de gama, fim de versões e linha enxuta nunca são bons sinais para um modelo. ainda mais quando um ""irmão"" de chão de fábrica com preço similar vai muito bem, como é o caso do polo. resultado: fox e up! podem sair de linha já em 2020. pelo menos foi isso que algumas concessionárias ouvidas pelo site motor1 relataram.
"
vale-refeição de juízes pode chegar a quase r$ 5 mil,"
	brasília - juízes de 24 estados recebem por mês mais de r$ 1 mil de vale-refeição. em pernambuco, o valor chega a r$ 4.787 - o equivalente a 4,8 vezes o salário mínimo em vigor (r$ 998) e mais que o dobro da renda média mensal dos trabalhadores brasileiros, que é de r$ 2.317 mensais.
"
"""bolsonaro não terminará o mandato"", aposta ciro gomes","
	em entrevista à dw, ciro gomes afirma que bolsonaro lidera uma ""equipe de idiotas"" e que não conseguirá terminar o mandato. para ele, congresso vem tendo papel importante de contenção perante presidente ""irresponsável"".
"
"""com religião se brinca sim"", diz porchat após ataque","
fabio porchat comentou sobre o ataque com coquetéis molotov à sede do porta dos fundos, que ocorreu na madrugada do dia 24, véspera de natal, em um artigo publicado no jornal o globo nesta segunda-feira, 30. no texto, o humorista afirma que ""com religião se brinca sim"" e defende a liberdade de expressão, bem como o direito das pessoas de se sentirem ofendidas com alguma piada, desde que não vá contra a lei.
"
pm é ferido em tiroteio em ação contra incêndio na rocinha,"
	rio - um policial militar ficou ferido na manhã deste domingo, 22, em meio a um tiroteio na favela da rocinha, na zona sul do rio. o agente acompanhava o trabalho de bombeiros que tentavam controlar um incêndio.
"
papa pede que famílias evitem usar celular durante refeições,"
	o papa francisco chamou à atenção das famílias que utilizam celulares durante as refeições e, neste domingo (29), fez um apelo para que as pessoas conversem mais umas com as outras. no tradicional ângelus, na praça são pedro, no vaticano, o pontífice citou jesus, maria e josé como um exemplo que todas as famílias devem seguir, porque eles ""rezavam, trabalhavam e se comunicavam entre si"".
"
"lula processa dono da havan após ser chamado de ""cachaceiro""","
	o ex-presidente luiz inácio lula da silva entrou com uma ação na justiça contra o dono das lojas havan, luciano hang, por calúnia e difamação. o empresário afirmou que patrocinaria aviões para sobrevoar praias de santa catarina levando faixas com dizeres contra o petista — no sábado (28) hang publicou um vídeo em que uma aeronave mostra a frase ""lula cachaceiro devolve meu dinheiro"". a defesa de lula pede a proibição das mensagens contra o ex-presidente e o pagamento de indenização de r$ 100 mil por danos morais.
"
mais 2 vítimas da barragem em brumadinho são identificadas,"
	rio - a polícia civil informou neste sábado, 28, que identificou mais duas vítimas do rompimento da barragem da vale na região de brumadinho, em minas gerais. o total de mortos na tragédia subiu para 259. outras 11 pessoas continuam desaparecidas em decorrência do colapso da barragem da mina do córrego do feijão, em 25 de janeiro deste ano.
"
inter pede r$ 90 milhões e torcida do flamengo faz campanha,"
	a maior indefinição do flamengo para 2020 atende por gabriel barbosa. e, neste sábado, o jornal gazzetta dello sport atualizou o cenário do lado italiano: a inter de milão pede, no mínimo, 20 milhões de euros (cerca de r$ 90 milhões) para negociá-lo em definitivo com o clube carioca.
	já com a operação financeira finalizada, a proposta do flamengo, de acordo com a apuração do lance!, é de 16 milhões de euros (aproximadamente r$ 72 milhões). ou seja: o negócio ainda terá mais capítulos e só tende a ser concluído, independente do desfecho, nos primeiros dias de janeiro.
	em doha, durante a disputa do mundial de clubes, ocorreu a mais recente reunião entre as partes. mas o desejo de gabigol, ainda não externado, pode pesar e, inclusive, tornar a inter mais flexível quanto à pedida pelo camisa 9, que está emprestado somente até o fim deste mês.
campanha no twitter
	agitada com novas informações a respeito do goleador do campeonato brasileiro e da libertadores, a torcida do flamengo promoveu novamente a campanha #ficagabigol no twitter. até o fim da tarde deste sábado, a hashtag estava entre os cinco assuntos mais comentados do brasil.
	a ver se o apelo dos torcedores, que já entoam o pedido pelo ""fico"" nas arquibancadas desde a reta final da temporada, surtirá efeito.
	confira tuítes da campanha:
"
